lr-AdamW,step,valid/recon/sess0,valid/loss,valid/recon,valid/bps,valid/co_bps,valid/fp_bps,valid/r2,valid/wt_l2,valid/wt_l2/ramp,valid/wt_kl,valid/wt_kl/ic,valid/wt_kl/co,valid/wt_kl/ramp,valid/recon_smth,hp_metric,cur_epoch,hp/lr_init,hp/dropout_rate,hp/l2_ic_enc_scale,hp/l2_ci_enc_scale,hp/l2_gen_scale,hp/l2_con_scale,hp/kl_co_scale,hp/kl_ic_scale,hp/weight_decay,hp/cd_rate,epoch,train/recon/sess0,train/loss,train/recon,train/bps,train/co_bps,train/fp_bps,train/r2,train/wt_l2,train/wt_l2/ramp,train/wt_kl,train/wt_kl/ic,train/wt_kl/co,train/wt_kl/ramp
0.004,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,1.0456271171569824,30878748.0,1.0456271171569824,-1.0,-1.0,-1.0,nan,5.428996519185603e-05,1.0,3086.8291015625,3.3961117267608643,3083.43310546875,1.0,1.0470079183578491,1.0456271171569824,0.0,0.004000000189989805,0.019999999552965164,0.0,0.0,0.009999999776482582,0.009999999776482582,1.0,0.009999999776482582,0.0,0.30000001192092896,0,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1.0510613918304443,59604000.0,1.0510613918304443,-1.0,-1.0,-1.0,nan,5.420564775704406e-05,1.0,5959.3486328125,3.3633079528808594,5955.9853515625,1.0
0.004,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,1.077054500579834,14644000.0,1.077054500579834,-1.0,-1.0,-1.0,nan,5.4422263929154724e-05,1.0,1463.32275390625,3.4221062660217285,1459.9007568359375,1.0,1.0680404901504517,1.077054500579834,1.0,0.004000000189989805,0.019999999552965164,0.0,0.0,0.009999999776482582,0.009999999776482582,1.0,0.009999999776482582,0.0,0.30000001192092896,1,,,,,,,,,,,,,
,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1.0445382595062256,29771014.0,1.0445382595062256,-1.0,-1.0,-1.0,nan,5.428996519185603e-05,1.0,2976.056640625,3.3901751041412354,2972.66650390625,1.0
0.004,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,1.1047234535217285,4942167.5,1.1047234535217285,-1.0,-1.0,-1.0,nan,5.458573650685139e-05,1.0,493.1119384765625,3.568497896194458,489.5434265136719,1.0,1.0937185287475586,1.1047234535217285,2.0,0.004000000189989805,0.019999999552965164,0.0,0.0,0.009999999776482582,0.009999999776482582,1.0,0.009999999776482582,0.0,0.30000001192092896,2,,,,,,,,,,,,,
,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1.0760797262191772,14539357.0,1.0760797262191772,-1.0,-1.0,-1.0,nan,5.4422263929154724e-05,1.0,1452.8594970703125,3.414865016937256,1449.444580078125,1.0
0.004,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,1.2646675109863281,2874396.25,1.2646675109863281,-1.0,-1.0,-1.0,nan,5.4776504839537665e-05,1.0,286.1748962402344,4.970792770385742,281.2041015625,1.0,1.2133828401565552,1.2646675109863281,3.0,0.004000000189989805,0.019999999552965164,0.0,0.0,0.009999999776482582,0.009999999776482582,1.0,0.009999999776482582,0.0,0.30000001192092896,3,,,,,,,,,,,,,
,3,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1.109047532081604,5229013.0,1.109047532081604,-1.0,-1.0,-1.0,nan,5.45857401448302e-05,1.0,521.7921752929688,3.5476672649383545,518.2445068359375,1.0
0.004,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4,2.342155694961548,2727426.5,2.342155694961548,-1.0,-1.0,-1.0,nan,5.49766918993555e-05,1.0,270.4004211425781,14.278517723083496,256.1219177246094,1.0,2.003523826599121,2.342155694961548,4.0,0.004000000189989805,0.019999999552965164,0.0,0.0,0.009999999776482582,0.009999999776482582,1.0,0.009999999776482582,0.0,0.30000001192092896,4,,,,,,,,,,,,,
,4,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1.266161322593689,2793351.25,1.266161322593689,-1.0,-1.0,-1.0,nan,5.4776504839537665e-05,1.0,278.06890869140625,4.830392360687256,273.238525390625,1.0
0.004,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5,2.3268933296203613,2640642.75,2.3268933296203613,-1.0,-1.0,-1.0,nan,5.5175667512230575e-05,1.0,261.7373352050781,11.476016998291016,250.26132202148438,1.0,2.2298824787139893,2.3268933296203613,5.0,0.004000000189989805,0.019999999552965164,0.0,0.0,0.009999999776482582,0.009999999776482582,1.0,0.009999999776482582,0.0,0.30000001192092896,5,,,,,,,,,,,,,
,5,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2.4334945678710938,2702683.5,2.4334945678710938,-1.0,-1.0,-1.0,nan,5.497669553733431e-05,1.0,267.83477783203125,14.069225311279297,253.76556396484375,1.0
0.004,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6,1.7126199007034302,2455643.5,1.7126199007034302,-1.0,-1.0,-1.0,nan,5.537550896406174e-05,1.0,243.85165405273438,6.619329452514648,237.2323455810547,1.0,1.8677986860275269,1.7126199007034302,6.0,0.004000000189989805,0.019999999552965164,0.0,0.0,0.009999999776482582,0.009999999776482582,1.0,0.009999999776482582,0.0,0.30000001192092896,6,,,,,,,,,,,,,
,6,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2.349543809890747,2603901.25,2.349543809890747,-1.0,-1.0,-1.0,nan,5.517566387425177e-05,1.0,258.04052734375,11.291778564453125,246.74874877929688,1.0
0.004,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7,1.2355396747589111,2280521.5,1.2355396747589111,-1.0,-1.0,-1.0,nan,5.557289478019811e-05,1.0,226.81655883789062,3.3936171531677246,223.42294311523438,1.0,1.4252173900604248,1.2355396747589111,7.0,0.004000000189989805,0.019999999552965164,0.0,0.0,0.009999999776482582,0.009999999776482582,1.0,0.009999999776482582,0.0,0.30000001192092896,7,,,,,,,,,,,,,
,7,,,,,,,,,,,,,,,,,,,,,,,,,,,7,1.7085261344909668,2442215.5,1.7085261344909668,-1.0,-1.0,-1.0,nan,5.537550896406174e-05,1.0,242.51296997070312,6.484918594360352,236.02804565429688,1.0
0.004,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8,0.992302417755127,2283277.5,0.992302417755127,-1.0,-1.0,-1.0,nan,5.576408511842601e-05,1.0,227.3354034423828,2.1753766536712646,225.1600341796875,1.0,1.1221768856048584,0.992302417755127,8.0,0.004000000189989805,0.019999999552965164,0.0,0.0,0.009999999776482582,0.009999999776482582,1.0,0.009999999776482582,0.0,0.30000001192092896,8,,,,,,,,,,,,,
,8,,,,,,,,,,,,,,,,,,,,,,,,,,,8,1.2211610078811646,2314043.25,1.2211610078811646,-1.0,-1.0,-1.0,nan,5.5572891142219305e-05,1.0,230.18310546875,3.324944496154785,226.858154296875,1.0
0.004,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9,1.012519121170044,2257066.25,1.012519121170044,-1.0,-1.0,-1.0,nan,5.595071706920862e-05,1.0,224.69406127929688,1.816653847694397,222.8773956298828,1.0,1.0454164743423462,1.012519121170044,9.0,0.004000000189989805,0.019999999552965164,0.0,0.0,0.009999999776482582,0.009999999776482582,1.0,0.009999999776482582,0.0,0.30000001192092896,9,,,,,,,,,,,,,
