lr-AdamW,step,valid/recon/sess0,valid/loss,valid/recon,valid/bps,valid/co_bps,valid/fp_bps,valid/r2,valid/wt_l2,valid/wt_l2/ramp,valid/wt_kl,valid/wt_kl/ic,valid/wt_kl/co,valid/wt_kl/ramp,valid/recon_smth,hp_metric,cur_epoch,hp/lr_init,hp/dropout_rate,hp/l2_ic_enc_scale,hp/l2_ci_enc_scale,hp/l2_gen_scale,hp/l2_con_scale,hp/kl_co_scale,hp/kl_ic_scale,hp/weight_decay,hp/cd_rate,epoch,train/recon/sess0,train/loss,train/recon,train/bps,train/co_bps,train/fp_bps,train/r2,train/wt_l2,train/wt_l2/ramp,train/wt_kl,train/wt_kl/ic,train/wt_kl/co,train/wt_kl/ramp
0.004,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,1.0450212955474854,196819.28125,1.0450212955474854,-1.0,-1.0,-1.0,nan,5.429097200249089e-06,1.0,18.63690185546875,3.213284492492676,15.423617362976074,1.0,1.046583890914917,1.0450212955474854,0.0,0.004000000189989805,0.019999999552965164,0.0,0.0,0.0010000000474974513,0.0010000000474974513,0.004999999888241291,0.009999999776482582,0.0,0.30000001192092896,0,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1.0510613918304443,341943.03125,1.0510613918304443,-1.0,-1.0,-1.0,nan,5.420565230451757e-06,1.0,33.14323425292969,3.3633079528808594,29.779926300048828,1.0
0.004,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,1.0753238201141357,163105.0625,1.0753238201141357,-1.0,-1.0,-1.0,nan,5.442345809569815e-06,1.0,15.235177993774414,4.353087425231934,10.882091522216797,1.0,1.066701889038086,1.0753238201141357,1.0,0.004000000189989805,0.019999999552965164,0.0,0.0,0.0010000000474974513,0.0010000000474974513,0.007449999917298555,0.01489999983459711,0.0,0.30000001192092896,1,,,,,,,,,,,,,
,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1.0439952611923218,279901.375,1.0439952611923218,-1.0,-1.0,-1.0,nan,5.429097200249089e-06,1.0,26.946136474609375,4.786661148071289,22.159475326538086,1.0
0.004,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,1.102416753768921,105351.4765625,1.102416753768921,-1.0,-1.0,-1.0,nan,5.458731266116956e-06,1.0,9.43272590637207,4.662915229797363,4.769811153411865,1.0,1.0917023420333862,1.102416753768921,2.0,0.004000000189989805,0.019999999552965164,0.0,0.0,0.0010000000474974513,0.0010000000474974513,0.00989999994635582,0.01979999989271164,0.0,0.30000001192092896,2,,,,,,,,,,,,,
,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1.0744163990020752,212169.453125,1.0744163990020752,-1.0,-1.0,-1.0,nan,5.442345809569815e-06,1.0,20.14252471923828,5.794960975646973,14.347563743591309,1.0
0.004,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,1.24007248878479,97036.7265625,1.24007248878479,-1.0,-1.0,-1.0,nan,5.4779679885541555e-06,1.0,8.463595390319824,5.021932601928711,3.441662549972534,1.0,1.195561408996582,1.24007248878479,3.0,0.004000000189989805,0.019999999552965164,0.0,0.0,0.0010000000474974513,0.0010000000474974513,0.012350000441074371,0.024700000882148743,0.0,0.30000001192092896,3,,,,,,,,,,,,,
,3,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1.106258749961853,132428.65625,1.106258749961853,-1.0,-1.0,-1.0,nan,5.458731266116956e-06,1.0,12.136601448059082,5.848396301269531,6.288205146789551,1.0
0.004,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4,1.2719998359680176,83935.078125,1.2719998359680176,-1.0,-1.0,-1.0,nan,5.498186965269269e-06,1.0,7.121502876281738,3.1485958099365234,3.972907066345215,1.0,1.249068260192871,1.2719998359680176,4.0,0.004000000189989805,0.019999999552965164,0.0,0.0,0.0010000000474974513,0.0010000000474974513,0.014800000004470348,0.029600000008940697,0.0,0.30000001192092896,4,,,,,,,,,,,,,
,4,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1.2420929670333862,112364.8046875,1.2420929670333862,-1.0,-1.0,-1.0,nan,5.4779679885541555e-06,1.0,9.99438190460205,5.978260517120361,4.0161213874816895,1.0
0.004,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5,1.2169138193130493,74064.046875,1.2169138193130493,-1.0,-1.0,-1.0,nan,5.5179971241159365e-06,1.0,6.189485549926758,1.5922858715057373,4.597199440002441,1.0,1.226560115814209,1.2169138193130493,5.0,0.004000000189989805,0.019999999552965164,0.0,0.0,0.0010000000474974513,0.0010000000474974513,0.017249999567866325,0.03449999913573265,0.0,0.30000001192092896,5,,,,,,,,,,,,,
,5,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1.271936058998108,96088.7890625,1.271936058998108,-1.0,-1.0,-1.0,nan,5.498186965269269e-06,1.0,8.33693790435791,3.7566516399383545,4.580286502838135,1.0
0.004,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6,1.061661958694458,69216.75,1.061661958694458,-1.0,-1.0,-1.0,nan,5.537761808227515e-06,1.0,5.8600077629089355,0.9023706316947937,4.957637310028076,1.0,1.1111314296722412,1.061661958694458,6.0,0.004000000189989805,0.019999999552965164,0.0,0.0,0.0010000000474974513,0.0010000000474974513,0.019700000062584877,0.039400000125169754,0.0,0.30000001192092896,6,,,,,,,,,,,,,
,6,,,,,,,,,,,,,,,,,,,,,,,,,,,6,1.2219825983047485,83300.96875,1.2219825983047485,-1.0,-1.0,-1.0,nan,5.5179971241159365e-06,1.0,7.108109474182129,1.9223476648330688,5.18576192855835,1.0
0.004,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7,0.8940514326095581,74649.3984375,0.8940514326095581,-1.0,-1.0,-1.0,nan,5.557085842156084e-06,1.0,6.570882797241211,1.2071292400360107,5.363753795623779,1.0,0.9591754674911499,0.8940514326095581,7.0,0.004000000189989805,0.019999999552965164,0.0,0.0,0.0010000000474974513,0.0010000000474974513,0.02215000055730343,0.04430000111460686,0.0,0.30000001192092896,7,,,,,,,,,,,,,
,7,,,,,,,,,,,,,,,,,,,,,,,,,,,7,1.0653234720230103,77878.3203125,1.0653234720230103,-1.0,-1.0,-1.0,nan,5.537761808227515e-06,1.0,6.722502708435059,1.1380784511566162,5.584424018859863,1.0
0.004,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8,0.9153459668159485,80422.7421875,0.9153459668159485,-1.0,-1.0,-1.0,nan,5.5755094763298985e-06,1.0,7.126922607421875,1.4585272073745728,5.668395519256592,1.0,0.9284948110580444,0.9153459668159485,8.0,0.004000000189989805,0.019999999552965164,0.0,0.0,0.0010000000474974513,0.0010000000474974513,0.02459999918937683,0.04919999837875366,0.0,0.30000001192092896,8,,,,,,,,,,,,,
,8,,,,,,,,,,,,,,,,,,,,,,,,,,,8,0.8976831436157227,83486.1171875,0.8976831436157227,-1.0,-1.0,-1.0,nan,5.557085842156084e-06,1.0,7.450922966003418,1.4713680744171143,5.979555130004883,1.0
0.004,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9,0.875740647315979,79930.2265625,0.875740647315979,-1.0,-1.0,-1.0,nan,5.5933328440005425e-06,1.0,7.117276191711426,1.0699036121368408,6.047372817993164,1.0,0.8915668725967407,0.875740647315979,9.0,0.004000000189989805,0.019999999552965164,0.0,0.0,0.0010000000474974513,0.0010000000474974513,0.027049999684095383,0.054099999368190765,0.0,0.30000001192092896,9,,,,,,,,,,,,,
