lr-AdamW,step,valid/recon/sess0,valid/loss,valid/recon,valid/bps,valid/co_bps,valid/fp_bps,valid/r2,valid/wt_l2,valid/wt_l2/ramp,valid/wt_kl,valid/wt_kl/ic,valid/wt_kl/co,valid/wt_kl/ramp,valid/recon_smth,hp_metric,cur_epoch,hp/lr_init,hp/dropout_rate,hp/l2_ic_enc_scale,hp/l2_ci_enc_scale,hp/l2_gen_scale,hp/l2_con_scale,hp/kl_co_scale,hp/kl_ic_scale,hp/weight_decay,hp/cd_rate,epoch,train/recon/sess0,train/loss,train/recon,train/bps,train/co_bps,train/fp_bps,train/r2,train/wt_l2,train/wt_l2/ramp,train/wt_kl,train/wt_kl/ic,train/wt_kl/co,train/wt_kl/ramp
0.004,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,1.0450212955474854,196819.28125,1.0450212955474854,-1.0,-1.0,-1.0,nan,5.429097200249089e-06,1.0,18.63690185546875,3.213284492492676,15.423617362976074,1.0,1.046583890914917,1.0450212955474854,0.0,0.004000000189989805,0.019999999552965164,0.0,0.0,0.0010000000474974513,0.0010000000474974513,0.004999999888241291,0.009999999776482582,0.0,0.30000001192092896,0,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1.0510613918304443,341943.03125,1.0510613918304443,-1.0,-1.0,-1.0,nan,5.420565230451757e-06,1.0,33.14323425292969,3.3633079528808594,29.779926300048828,1.0
0.004,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,1.0752946138381958,174589.125,1.0752946138381958,-1.0,-1.0,-1.0,nan,5.442347173811868e-06,1.0,16.38361167907715,4.681333541870117,11.702278137207031,1.0,1.0666813850402832,1.0752946138381958,1.0,0.004000000189989805,0.019999999552965164,0.0,0.0,0.0010000000474974513,0.0010000000474974513,0.008011767640709877,0.016023535281419754,0.0,0.30000001192092896,1,,,,,,,,,,,,,
,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1.0439952611923218,300220.125,1.0439952611923218,-1.0,-1.0,-1.0,nan,5.429097200249089e-06,1.0,28.978012084960938,5.147599697113037,23.830411911010742,1.0
0.004,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,1.102805733680725,115010.3125,1.102805733680725,-1.0,-1.0,-1.0,nan,5.458735813590465e-06,1.0,10.39822006225586,5.140526294708252,5.257693290710449,1.0,1.0919684171676636,1.102805733680725,2.0,0.004000000189989805,0.019999999552965164,0.0,0.0,0.0010000000474974513,0.0010000000474974513,0.010913887061178684,0.02182777412235737,0.0,0.30000001192092896,2,,,,,,,,,,,,,
,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1.0743862390518188,232792.390625,1.0743862390518188,-1.0,-1.0,-1.0,nan,5.442347173811868e-06,1.0,22.20484733581543,6.388440132141113,15.816407203674316,1.0
0.004,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,1.241229772567749,105290.9765625,1.241229772567749,-1.0,-1.0,-1.0,nan,5.47798072147998e-06,1.0,9.287862777709961,5.511316299438477,3.776545763015747,1.0,1.1964514255523682,1.241229772567749,3.0,0.004000000189989805,0.019999999552965164,0.0,0.0,0.0010000000474974513,0.0010000000474974513,0.013550834730267525,0.02710166946053505,0.0,0.30000001192092896,3,,,,,,,,,,,,,
,3,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1.1066503524780273,144226.5625,1.1066503524780273,-1.0,-1.0,-1.0,nan,5.458735813590465e-06,1.0,13.316000938415527,6.417137622833252,6.898863315582275,1.0
0.004,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4,1.2768728733062744,88720.3828125,1.2768728733062744,-1.0,-1.0,-1.0,nan,5.498241534951376e-06,1.0,7.595160007476807,3.3579206466674805,4.237239360809326,1.0,1.2527464628219604,1.2768728733062744,4.0,0.004000000189989805,0.019999999552965164,0.0,0.0,0.0010000000474974513,0.0010000000474974513,0.015781009569764137,0.031562019139528275,0.0,0.30000001192092896,4,,,,,,,,,,,,,
,4,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1.2432506084442139,119016.28125,1.2432506084442139,-1.0,-1.0,-1.0,nan,5.47798072147998e-06,1.0,10.65837287902832,6.3757195472717285,4.282653331756592,1.0
0.004,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5,1.2254822254180908,75023.265625,1.2254822254180908,-1.0,-1.0,-1.0,nan,5.518098078027833e-06,1.0,6.276838779449463,1.6147308349609375,4.662107944488525,1.0,1.2336615324020386,1.2254822254180908,5.0,0.004000000189989805,0.019999999552965164,0.0,0.0,0.0010000000474974513,0.0010000000474974513,0.017486093565821648,0.034972187131643295,0.0,0.30000001192092896,5,,,,,,,,,,,,,
,5,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1.2768194675445557,97297.15625,1.2768194675445557,-1.0,-1.0,-1.0,nan,5.498241534951376e-06,1.0,8.452890396118164,3.808727741241455,4.644162654876709,1.0
0.004,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6,1.0676723718643188,65963.265625,1.0676723718643188,-1.0,-1.0,-1.0,nan,5.537845936487429e-06,1.0,5.528648853302002,0.8517491221427917,4.6768999099731445,1.0,1.117469072341919,1.0676723718643188,6.0,0.004000000189989805,0.019999999552965164,0.0,0.0,0.0010000000474974513,0.0010000000474974513,0.018579082563519478,0.037158165127038956,0.0,0.30000001192092896,6,,,,,,,,,,,,,
,6,,,,,,,,,,,,,,,,,,,,,,,,,,,6,1.2306315898895264,79370.6484375,1.2306315898895264,-1.0,-1.0,-1.0,nan,5.518098078027833e-06,1.0,6.706427574157715,1.8136365413665771,4.892791271209717,1.0
0.004,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7,0.8943116068840027,65382.67578125,0.8943116068840027,-1.0,-1.0,-1.0,nan,5.5570731092302594e-06,1.0,5.64394998550415,1.0384210348129272,4.605529308319092,1.0,0.9612588286399841,0.8943116068840027,7.0,0.004000000189989805,0.019999999552965164,0.0,0.0,0.0010000000474974513,0.0010000000474974513,0.019010473042726517,0.03802094608545303,0.0,0.30000001192092896,7,,,,,,,,,,,,,
,7,,,,,,,,,,,,,,,,,,,,,,,,,,,7,1.0714271068572998,68431.609375,1.0714271068572998,-1.0,-1.0,-1.0,nan,5.537845936487429e-06,1.0,5.771728515625,0.9774603247642517,4.7942681312561035,1.0
0.004,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8,0.9162801504135132,63605.5859375,0.9162801504135132,-1.0,-1.0,-1.0,nan,5.575372597377282e-06,1.0,5.444272994995117,1.1135191917419434,4.330753803253174,1.0,0.9297738075256348,0.9162801504135132,8.0,0.004000000189989805,0.019999999552965164,0.0,0.0,0.0010000000474974513,0.0010000000474974513,0.018772132694721222,0.037544265389442444,0.0,0.30000001192092896,8,,,,,,,,,,,,,
,8,,,,,,,,,,,,,,,,,,,,,,,,,,,8,0.8979348540306091,65880.515625,0.8979348540306091,-1.0,-1.0,-1.0,nan,5.5570731092302594e-06,1.0,5.6901116371154785,1.1250959634780884,4.56501579284668,1.0
0.004,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9,0.8084487915039062,55319.3203125,0.8084487915039062,-1.0,-1.0,-1.0,nan,5.593025889538694e-06,1.0,4.723477363586426,0.7338811755180359,3.989596366882324,1.0,0.8448463082313538,0.8084487915039062,9.0,0.004000000189989805,0.019999999552965164,0.0,0.0,0.0010000000474974513,0.0010000000474974513,0.017898594960570335,0.03579718992114067,0.0,0.30000001192092896,9,,,,,,,,,,,,,
