lr-AdamW,step,valid/recon/sess0,valid/loss,valid/recon,valid/bps,valid/co_bps,valid/fp_bps,valid/r2,valid/wt_l2,valid/wt_l2/ramp,valid/wt_kl,valid/wt_kl/ic,valid/wt_kl/co,valid/wt_kl/ramp,valid/recon_smth,hp_metric,cur_epoch,hp/lr_init,hp/dropout_rate,hp/l2_ic_enc_scale,hp/l2_ci_enc_scale,hp/l2_gen_scale,hp/l2_con_scale,hp/kl_co_scale,hp/kl_ic_scale,hp/weight_decay,hp/cd_rate,epoch,train/recon/sess0,train/loss,train/recon,train/bps,train/co_bps,train/fp_bps,train/r2,train/wt_l2,train/wt_l2/ramp,train/wt_kl,train/wt_kl/ic,train/wt_kl/co,train/wt_kl/ramp
0.004,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,1.0450212955474854,196819.28125,1.0450212955474854,-1.0,-1.0,-1.0,nan,5.429097200249089e-06,1.0,18.63690185546875,3.213284492492676,15.423617362976074,1.0,1.046583890914917,1.0450212955474854,0.0,0.004000000189989805,0.019999999552965164,0.0,0.0,0.0010000000474974513,0.0010000000474974513,0.004999999888241291,0.009999999776482582,0.0,0.30000001192092896,0,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1.0510613918304443,341943.03125,1.0510613918304443,-1.0,-1.0,-1.0,nan,5.420565230451757e-06,1.0,33.14323425292969,3.3633079528808594,29.779926300048828,1.0
0.004,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,1.0755268335342407,117192.78125,1.0755268335342407,-1.0,-1.0,-1.0,nan,5.442335350380745e-06,1.0,10.643746376037598,3.040762424468994,7.6029839515686035,1.0,1.0668439865112305,1.0755268335342407,1.0,0.004000000189989805,0.019999999552965164,0.0,0.0,0.0010000000474974513,0.0010000000474974513,0.005204054061323404,0.010408108122646809,0.0,0.30000001192092896,1,,,,,,,,,,,,,
,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1.0439952611923218,198667.0625,1.0439952611923218,-1.0,-1.0,-1.0,nan,5.429097200249089e-06,1.0,18.82270622253418,3.343630075454712,15.47907543182373,1.0
0.004,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,1.1003963947296143,62633.65625,1.1003963947296143,-1.0,-1.0,-1.0,nan,5.458689429360675e-06,1.0,5.1629638671875,2.5508711338043213,2.6120924949645996,1.0,1.0903306007385254,1.1003963947296143,2.0,0.004000000189989805,0.019999999552965164,0.0,0.0,0.0010000000474974513,0.0010000000474974513,0.005416435189545155,0.01083287037909031,0.0,0.30000001192092896,2,,,,,,,,,,,,,
,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1.0746272802352905,120965.2578125,1.0746272802352905,-1.0,-1.0,-1.0,nan,5.442335350380745e-06,1.0,11.021893501281738,3.1705052852630615,7.851387977600098,1.0
0.004,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,1.2316410541534424,50887.6796875,1.2316410541534424,-1.0,-1.0,-1.0,nan,5.4778233788965736e-06,1.0,3.857121467590332,2.2872474193573,1.5698742866516113,1.0,1.1892478466033936,1.2316410541534424,3.0,0.004000000189989805,0.019999999552965164,0.0,0.0,0.0010000000474974513,0.0010000000474974513,0.005637484136968851,0.011274968273937702,0.0,0.30000001192092896,3,,,,,,,,,,,,,
,3,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1.1042256355285645,66466.21875,1.1042256355285645,-1.0,-1.0,-1.0,nan,5.458689429360675e-06,1.0,5.542390823364258,2.669379472732544,2.873011589050293,1.0
0.004,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4,1.19916832447052,40155.51953125,1.19916832447052,-1.0,-1.0,-1.0,nan,5.497114216268528e-06,1.0,2.816378116607666,1.2452013492584229,1.5711767673492432,1.0,1.1961921453475952,1.19916832447052,4.0,0.004000000189989805,0.019999999552965164,0.0,0.0,0.0010000000474974513,0.0010000000474974513,0.0058675543405115604,0.011735108681023121,0.0,0.30000001192092896,4,,,,,,,,,,,,,
,4,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1.2336057424545288,51894.5703125,1.2336057424545288,-1.0,-1.0,-1.0,nan,5.4778233788965736e-06,1.0,3.955845832824707,2.3650693893432617,1.5907764434814453,1.0
0.004,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5,1.0436351299285889,32356.115234375,1.0436351299285889,-1.0,-1.0,-1.0,nan,5.515068551176228e-06,1.0,2.1919708251953125,0.5699857473373413,1.6219849586486816,1.0,1.089402198791504,1.0436351299285889,5.0,0.004000000189989805,0.019999999552965164,0.0,0.0,0.0010000000474974513,0.0010000000474974513,0.006107013672590256,0.012214027345180511,0.0,0.30000001192092896,5,,,,,,,,,,,,,
,5,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1.1989076137542725,41424.140625,1.1989076137542725,-1.0,-1.0,-1.0,nan,5.497113761521177e-06,1.0,2.9435009956359863,1.326851725578308,1.6166493892669678,1.0
0.004,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6,0.8803693652153015,27715.61328125,0.8803693652153015,-1.0,-1.0,-1.0,nan,5.532966042665066e-06,1.0,1.891186237335205,0.2934357821941376,1.5977504253387451,1.0,0.9430792331695557,0.8803693652153015,6.0,0.004000000189989805,0.019999999552965164,0.0,0.0,0.0010000000474974513,0.0010000000474974513,0.0063562458381056786,0.012712491676211357,0.0,0.30000001192092896,6,,,,,,,,,,,,,
,6,,,,,,,,,,,,,,,,,,,,,,,,,,,6,1.046984314918518,33421.6171875,1.046984314918518,-1.0,-1.0,-1.0,nan,5.515068551176228e-06,1.0,2.2951719760894775,0.6270416975021362,1.6681302785873413,1.0
0.004,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7,0.8537448644638062,28217.232421875,0.8537448644638062,-1.0,-1.0,-1.0,nan,5.551130925596226e-06,1.0,1.967972755432129,0.34653061628341675,1.6214423179626465,1.0,0.8805451393127441,0.8537448644638062,7.0,0.004000000189989805,0.019999999552965164,0.0,0.0,0.0010000000474974513,0.0010000000474974513,0.006615648977458477,0.013231297954916954,0.0,0.30000001192092896,7,,,,,,,,,,,,,
,7,,,,,,,,,,,,,,,,,,,,,,,,,,,7,0.8811136484146118,28866.87109375,0.8811136484146118,-1.0,-1.0,-1.0,nan,5.532966042665066e-06,1.0,2.005567789077759,0.34192219376564026,1.6636455059051514,1.0
0.004,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8,0.8183367252349854,28261.919921875,0.8183367252349854,-1.0,-1.0,-1.0,nan,5.568685082835145e-06,1.0,2.00784969329834,0.405722439289093,1.6021274328231812,1.0,0.836999237537384,0.8183367252349854,8.0,0.004000000189989805,0.019999999552965164,0.0,0.0,0.0010000000474974513,0.0010000000474974513,0.006885638926178217,0.013771277852356434,0.0,0.30000001192092896,8,,,,,,,,,,,,,
,8,,,,,,,,,,,,,,,,,,,,,,,,,,,8,0.8547912836074829,29405.08984375,0.8547912836074829,-1.0,-1.0,-1.0,nan,5.551130470848875e-06,1.0,2.085712194442749,0.3968445062637329,1.6888676881790161,1.0
0.004,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
