lr-AdamW,step,valid/recon/sess0,valid/loss,valid/recon,valid/bps,valid/co_bps,valid/fp_bps,valid/r2,valid/wt_l2,valid/wt_l2/ramp,valid/wt_kl,valid/wt_kl/ic,valid/wt_kl/co,valid/wt_kl/ramp,valid/recon_smth,hp_metric,cur_epoch,hp/lr_init,hp/dropout_rate,hp/l2_ic_enc_scale,hp/l2_ci_enc_scale,hp/l2_gen_scale,hp/l2_con_scale,hp/kl_co_scale,hp/kl_ic_scale,hp/weight_decay,hp/cd_rate,epoch,train/recon/sess0,train/loss,train/recon,train/bps,train/co_bps,train/fp_bps,train/r2,train/wt_l2,train/wt_l2/ramp,train/wt_kl,train/wt_kl/ic,train/wt_kl/co,train/wt_kl/ramp
0.004,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,1.0450212955474854,196819.28125,1.0450212955474854,-1.0,-1.0,-1.0,nan,5.429097200249089e-06,1.0,18.63690185546875,3.213284492492676,15.423617362976074,1.0,1.046583890914917,1.0450212955474854,0.0,0.004000000189989805,0.019999999552965164,0.0,0.0,0.0010000000474974513,0.0010000000474974513,0.004999999888241291,0.009999999776482582,0.0,0.30000001192092896,0,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1.0510613918304443,341943.03125,1.0510613918304443,-1.0,-1.0,-1.0,nan,5.420565230451757e-06,1.0,33.14323425292969,3.3633079528808594,29.779926300048828,1.0
0.004,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,1.0754789113998413,125491.1328125,1.0754789113998413,-1.0,-1.0,-1.0,nan,5.44233807886485e-06,1.0,11.473628997802734,3.2779598236083984,8.195669174194336,1.0,1.0668103694915771,1.0754789113998413,1.0,0.004000000189989805,0.019999999552965164,0.0,0.0,0.0010000000474974513,0.0010000000474974513,0.005609999876469374,0.011219999752938747,0.0,0.30000001192092896,1,,,,,,,,,,,,,
,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1.0439952611923218,213349.84375,1.0439952611923218,-1.0,-1.0,-1.0,nan,5.429097200249089e-06,1.0,20.290983200073242,3.60445237159729,16.68653106689453,1.0
0.004,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,1.1008350849151611,70481.203125,1.1008350849151611,-1.0,-1.0,-1.0,nan,5.458701252791798e-06,1.0,5.947279453277588,2.938819169998169,3.008460283279419,1.0,1.090627670288086,1.1008350849151611,2.0,0.004000000189989805,0.019999999552965164,0.0,0.0,0.0010000000474974513,0.0010000000474974513,0.006240000016987324,0.012480000033974648,0.0,0.30000001192092896,2,,,,,,,,,,,,,
,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1.0745774507522583,137718.984375,1.0745774507522583,-1.0,-1.0,-1.0,nan,5.44233807886485e-06,1.0,12.697315216064453,3.652578830718994,9.044736862182617,1.0
0.004,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,1.2343182563781738,59508.44140625,1.2343182563781738,-1.0,-1.0,-1.0,nan,5.477870672621066e-06,1.0,4.716520309448242,2.7974042892456055,1.9191157817840576,1.0,1.1912111043930054,1.2343182563781738,3.0,0.004000000189989805,0.019999999552965164,0.0,0.0,0.0010000000474974513,0.0010000000474974513,0.006889999844133854,0.013779999688267708,0.0,0.30000001192092896,3,,,,,,,,,,,,,
,3,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1.10466730594635,78776.5390625,1.10466730594635,-1.0,-1.0,-1.0,nan,5.458700798044447e-06,1.0,6.772980690002441,3.262547254562378,3.5104334354400635,1.0
0.004,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4,1.2237194776535034,48554.62890625,1.2237194776535034,-1.0,-1.0,-1.0,nan,5.497491201822413e-06,1.0,3.6317381858825684,1.6059863567352295,2.025751829147339,1.0,1.213966965675354,1.2237194776535034,4.0,0.004000000189989805,0.019999999552965164,0.0,0.0,0.0010000000474974513,0.0010000000474974513,0.0075599998235702515,0.015119999647140503,0.0,0.30000001192092896,4,,,,,,,,,,,,,
,4,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1.2363024950027466,63358.2890625,1.2363024950027466,-1.0,-1.0,-1.0,nan,5.477870672621066e-06,1.0,5.099520683288574,3.049304246902466,2.0502161979675293,1.0
0.004,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5,1.0963259935379028,40550.53125,1.0963259935379028,-1.0,-1.0,-1.0,nan,5.516015789908124e-06,1.0,2.95872163772583,0.7660973072052002,2.19262433052063,1.0,1.1316182613372803,1.0963259935379028,5.0,0.004000000189989805,0.019999999552965164,0.0,0.0,0.0010000000474974513,0.0010000000474974513,0.008249999955296516,0.016499999910593033,0.0,0.30000001192092896,5,,,,,,,,,,,,,
,5,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1.2235006093978882,52036.04296875,1.2235006093978882,-1.0,-1.0,-1.0,nan,5.497491201822413e-06,1.0,3.980098247528076,1.7942005395889282,2.1858975887298584,1.0
0.004,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6,0.9229025840759277,35866.453125,0.9229025840759277,-1.0,-1.0,-1.0,nan,5.5343784879369196e-06,1.0,2.6637372970581055,0.41264939308166504,2.2510879039764404,1.0,0.9855172634124756,0.9229025840759277,6.0,0.004000000189989805,0.019999999552965164,0.0,0.0,0.0010000000474974513,0.0010000000474974513,0.008960000239312649,0.017920000478625298,0.0,0.30000001192092896,6,,,,,,,,,,,,,
,6,,,,,,,,,,,,,,,,,,,,,,,,,,,6,1.1001455783843994,43320.7421875,1.1001455783843994,-1.0,-1.0,-1.0,nan,5.516015789908124e-06,1.0,3.2319231033325195,0.8795291781425476,2.352393865585327,1.0
0.004,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7,0.8480235934257507,37271.15625,0.8480235934257507,-1.0,-1.0,-1.0,nan,5.552708898903802e-06,1.0,2.879086494445801,0.5184277296066284,2.360658645629883,1.0,0.8892716765403748,0.8480235934257507,7.0,0.004000000189989805,0.019999999552965164,0.0,0.0,0.0010000000474974513,0.0010000000474974513,0.009689999744296074,0.019379999488592148,0.0,0.30000001192092896,7,,,,,,,,,,,,,
,7,,,,,,,,,,,,,,,,,,,,,,,,,,,7,0.924253523349762,38609.828125,0.924253523349762,-1.0,-1.0,-1.0,nan,5.5343784879369196e-06,1.0,2.9367239475250244,0.49998030066490173,2.43674373626709,1.0
0.004,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8,0.8962995409965515,39229.50390625,0.8962995409965515,-1.0,-1.0,-1.0,nan,5.570516805164516e-06,1.0,3.0266451835632324,0.6071285009384155,2.4195168018341064,1.0,0.8941912055015564,0.8962995409965515,8.0,0.004000000189989805,0.019999999552965164,0.0,0.0,0.0010000000474974513,0.0010000000474974513,0.010440000332891941,0.020880000665783882,0.0,0.30000001192092896,8,,,,,,,,,,,,,
,8,,,,,,,,,,,,,,,,,,,,,,,,,,,8,0.8496913909912109,40116.58984375,0.8496913909912109,-1.0,-1.0,-1.0,nan,5.552708898903802e-06,1.0,3.1619622707366943,0.6136214137077332,2.5483407974243164,1.0
0.004,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
