lr-AdamW,step,valid/recon/sess0,valid/loss,valid/recon,valid/bps,valid/co_bps,valid/fp_bps,valid/r2,valid/wt_l2,valid/wt_l2/ramp,valid/wt_kl,valid/wt_kl/ic,valid/wt_kl/co,valid/wt_kl/ramp,valid/recon_smth,hp_metric,cur_epoch,hp/lr_init,hp/dropout_rate,hp/l2_ic_enc_scale,hp/l2_ci_enc_scale,hp/l2_gen_scale,hp/l2_con_scale,hp/kl_co_scale,hp/kl_ic_scale,hp/weight_decay,hp/cd_rate,epoch,train/recon/sess0,train/loss,train/recon,train/bps,train/co_bps,train/fp_bps,train/r2,train/wt_l2,train/wt_l2/ramp,train/wt_kl,train/wt_kl/ic,train/wt_kl/co,train/wt_kl/ramp
0.004,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,1.0449434518814087,103603.59375,1.0449434518814087,-1.0,-1.0,-1.0,nan,5.428953500086209e-06,1.0,9.315410614013672,1.6064218282699585,7.708988666534424,1.0,1.0465294122695923,1.0449434518814087,0.0,0.004000000189989805,0.019999999552965164,0.0,0.0,0.0010000000474974513,0.0010000000474974513,0.0024999999441206455,0.004999999888241291,0.0,0.30000001192092896,0,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1.0510613918304443,176226.84375,1.0510613918304443,-1.0,-1.0,-1.0,nan,5.420565230451757e-06,1.0,16.571617126464844,1.6816539764404297,14.889963150024414,1.0
0.004,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,1.0745704174041748,62810.5859375,1.0745704174041748,-1.0,-1.0,-1.0,nan,5.442125257104635e-06,1.0,5.206483364105225,1.48966383934021,3.7168190479278564,1.0,1.0661580562591553,1.0745704174041748,1.0,0.004000000189989805,0.019999999552965164,0.0,0.0,0.0010000000474974513,0.0010000000474974513,0.0025500000920146704,0.005100000184029341,0.0,0.30000001192092896,1,,,,,,,,,,,,,
,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1.043924331665039,102646.84375,1.043924331665039,-1.0,-1.0,-1.0,nan,5.428953500086209e-06,1.0,9.220754623413086,1.6381752490997314,7.582579612731934,1.0
0.004,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,1.0965332984924316,35741.01171875,1.0965332984924316,-1.0,-1.0,-1.0,nan,5.458424766402459e-06,1.0,2.477562427520752,1.224034309387207,1.2535279989242554,1.0,1.0874207019805908,1.0965332984924316,2.0,0.004000000189989805,0.019999999552965164,0.0,0.0,0.0010000000474974513,0.0010000000474974513,0.0026000000070780516,0.005200000014156103,0.0,0.30000001192092896,2,,,,,,,,,,,,,
,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1.0736671686172485,63552.8984375,1.0736671686172485,-1.0,-1.0,-1.0,nan,5.442125257104635e-06,1.0,5.281617164611816,1.5215842723846436,3.760032892227173,1.0
0.004,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,1.2044373750686646,30132.974609375,1.2044373750686646,-1.0,-1.0,-1.0,nan,5.4772667681390885e-06,1.0,1.8088548183441162,1.071868658065796,0.7369861006736755,1.0,1.1693323850631714,1.2044373750686646,3.0,0.004000000189989805,0.019999999552965164,0.0,0.0,0.0010000000474974513,0.0010000000474974513,0.0026499999221414328,0.0052999998442828655,0.0,0.30000001192092896,3,,,,,,,,,,,,,
,3,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1.100311517715454,37047.95703125,1.100311517715454,-1.0,-1.0,-1.0,nan,5.458424311655108e-06,1.0,2.6044788360595703,1.254372477531433,1.3501063585281372,1.0
0.004,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4,1.094128131866455,23818.6953125,1.094128131866455,-1.0,-1.0,-1.0,nan,5.495081950357417e-06,1.0,1.287735939025879,0.5677501559257507,0.7199857831001282,1.0,1.1166894435882568,1.094128131866455,4.0,0.004000000189989805,0.019999999552965164,0.0,0.0,0.0010000000474974513,0.0010000000474974513,0.0027000000700354576,0.005400000140070915,0.0,0.30000001192092896,4,,,,,,,,,,,,,
,4,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1.206336259841919,30223.197265625,1.206336259841919,-1.0,-1.0,-1.0,nan,5.4772667681390885e-06,1.0,1.8159781694412231,1.0852062702178955,0.7307718992233276,1.0
0.004,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5,0.9177371263504028,18996.31640625,0.9177371263504028,-1.0,-1.0,-1.0,nan,5.51169432583265e-06,1.0,0.981889009475708,0.2581777274608612,0.7237112522125244,1.0,0.977422833442688,0.9177371263504028,5.0,0.004000000189989805,0.019999999552965164,0.0,0.0,0.0010000000474974513,0.0010000000474974513,0.002749999985098839,0.005499999970197678,0.0,0.30000001192092896,5,,,,,,,,,,,,,
,5,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1.0940430164337158,24103.197265625,1.0940430164337158,-1.0,-1.0,-1.0,nan,5.495081950357417e-06,1.0,1.316271424293518,0.5921343564987183,0.7241370677947998,1.0
0.004,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6,0.8514577746391296,16766.123046875,0.8514577746391296,-1.0,-1.0,-1.0,nan,5.528765996132279e-06,1.0,0.8251490592956543,0.12663549184799194,0.6985135674476624,1.0,0.8892472982406616,0.8514577746391296,6.0,0.004000000189989805,0.019999999552965164,0.0,0.0,0.0010000000474974513,0.0010000000474974513,0.00279999990016222,0.00559999980032444,0.0,0.30000001192092896,6,,,,,,,,,,,,,
,6,,,,,,,,,,,,,,,,,,,,,,,,,,,6,0.9198561310768127,19276.498046875,0.9198561310768127,-1.0,-1.0,-1.0,nan,5.51169432583265e-06,1.0,1.0077881813049316,0.2779111862182617,0.7298769354820251,1.0
0.004,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7,0.7875381708145142,16453.833984375,0.7875381708145142,-1.0,-1.0,-1.0,nan,5.545988642552402e-06,1.0,0.8578395843505859,0.15268853306770325,0.7051509618759155,1.0,0.8180508613586426,0.7875381708145142,7.0,0.004000000189989805,0.019999999552965164,0.0,0.0,0.0010000000474974513,0.0010000000474974513,0.002850000048056245,0.00570000009611249,0.0,0.30000001192092896,7,,,,,,,,,,,,,
,7,,,,,,,,,,,,,,,,,,,,,,,,,,,7,0.8514304757118225,17076.6796875,0.8514304757118225,-1.0,-1.0,-1.0,nan,5.52876645087963e-06,1.0,0.8562320470809937,0.14451010525226593,0.7117219567298889,1.0
0.004,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8,0.6893216967582703,15597.48046875,0.6893216967582703,-1.0,-1.0,-1.0,nan,5.562791557167657e-06,1.0,0.8704208135604858,0.18127837777137756,0.6891424655914307,1.0,0.7279404401779175,0.6893216967582703,8.0,0.004000000189989805,0.019999999552965164,0.0,0.0,0.0010000000474974513,0.0010000000474974513,0.002899999963119626,0.005799999926239252,0.0,0.30000001192092896,8,,,,,,,,,,,,,
,8,,,,,,,,,,,,,,,,,,,,,,,,,,,8,0.7882632613182068,16769.994140625,0.7882632613182068,-1.0,-1.0,-1.0,nan,5.545988642552402e-06,1.0,0.8887304663658142,0.17057037353515625,0.718160092830658,1.0
0.004,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9,0.5983113646507263,13966.556640625,0.5983113646507263,-1.0,-1.0,-1.0,nan,5.579736807703739e-06,1.0,0.7983387112617493,0.1410650610923767,0.6572736501693726,1.0,0.6372000575065613,0.5983113646507263,9.0,0.004000000189989805,0.019999999552965164,0.0,0.0,0.0010000000474974513,0.0010000000474974513,0.002950000111013651,0.005900000222027302,0.0,0.30000001192092896,9,,,,,,,,,,,,,
,9,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0.6899622082710266,15831.16796875,0.6899622082710266,-1.0,-1.0,-1.0,nan,5.562791557167657e-06,1.0,0.8931490778923035,0.20124594867229462,0.6919031143188477,1.0
0.004,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10,0.5157135725021362,12530.3876953125,0.5157135725021362,-1.0,-1.0,-1.0,nan,5.597079507424496e-06,1.0,0.7373195886611938,0.05341509357094765,0.6839044690132141,1.0,0.5521595478057861,0.5157135725021362,10.0,0.004000000189989805,0.019999999552965164,0.0,0.0,0.0010000000474974513,0.0010000000474974513,0.003000000026077032,0.006000000052154064,0.0,0.30000001192092896,10,,,,,,,,,,,,,
,10,,,,,,,,,,,,,,,,,,,,,,,,,,,10,0.6000600457191467,14319.1025390625,0.6000600457191467,-1.0,-1.0,-1.0,nan,5.579736807703739e-06,1.0,0.8318445682525635,0.15871800482273102,0.6731265783309937,1.0
0.004,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11,0.4268845021724701,11482.5341796875,0.4268845021724701,-1.0,-1.0,-1.0,nan,5.614123438135721e-06,1.0,0.7213632464408875,0.03989771008491516,0.6814654469490051,1.0,0.46446701884269714,0.4268845021724701,11.0,0.004000000189989805,0.019999999552965164,0.0,0.0,0.0010000000474974513,0.0010000000474974513,0.0030499999411404133,0.006099999882280827,0.0,0.30000001192092896,11,,,,,,,,,,,,,
,11,,,,,,,,,,,,,,,,,,,,,,,,,,,11,0.5166806578636169,12697.806640625,0.5166806578636169,-1.0,-1.0,-1.0,nan,5.597079052677145e-06,1.0,0.7530944347381592,0.06836506724357605,0.6847293376922607,1.0
0.004,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,12,0.3469620943069458,11103.6650390625,0.3469620943069458,-1.0,-1.0,-1.0,nan,5.631336989608826e-06,1.0,0.7633987665176392,0.0629793033003807,0.7004194855690002,1.0,0.3822135925292969,0.3469620943069458,12.0,0.004000000189989805,0.019999999552965164,0.0,0.0,0.0010000000474974513,0.0010000000474974513,0.003100000089034438,0.006200000178068876,0.0,0.30000001192092896,12,,,,,,,,,,,,,
,12,,,,,,,,,,,,,,,,,,,,,,,,,,,12,0.42787298560142517,11682.7734375,0.42787298560142517,-1.0,-1.0,-1.0,nan,5.614123892883072e-06,1.0,0.7403987646102905,0.053879741579294205,0.6865190267562866,1.0
0.004,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,13,0.2824985384941101,10380.4130859375,0.2824985384941101,-1.0,-1.0,-1.0,nan,5.64876017961069e-06,1.0,0.755537211894989,0.06539390236139297,0.6901432275772095,1.0,0.3124130666255951,0.2824985384941101,13.0,0.004000000189989805,0.019999999552965164,0.0,0.0,0.0010000000474974513,0.0010000000474974513,0.0031500000040978193,0.006300000008195639,0.0,0.30000001192092896,13,,,,,,,,,,,,,
,13,,,,,,,,,,,,,,,,,,,,,,,,,,,13,0.34808626770973206,11368.91015625,0.34808626770973206,-1.0,-1.0,-1.0,nan,5.631336989608826e-06,1.0,0.7887991070747375,0.07755909860134125,0.7112399935722351,1.0
0.004,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,14,0.23086851835250854,9837.63671875,0.23086851835250854,-1.0,-1.0,-1.0,nan,5.666478500643279e-06,1.0,0.7528894543647766,0.04709653928875923,0.7057929039001465,1.0,0.2553318738937378,0.23086851835250854,14.0,0.004000000189989805,0.019999999552965164,0.0,0.0,0.0010000000474974513,0.0010000000474974513,0.0031999999191612005,0.006399999838322401,0.0,0.30000001192092896,14,,,,,,,,,,,,,
,14,,,,,,,,,,,,,,,,,,,,,,,,,,,14,0.2815832793712616,10673.95703125,0.2815832793712616,-1.0,-1.0,-1.0,nan,5.64876017961069e-06,1.0,0.7858067750930786,0.07797449082136154,0.7078322768211365,1.0
0.004,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,15,0.19012410938739777,9268.220703125,0.19012410938739777,-1.0,-1.0,-1.0,nan,5.6846224651962984e-06,1.0,0.7366922497749329,0.0288791935890913,0.7078130841255188,1.0,0.20968644320964813,0.19012410938739777,15.0,0.004000000189989805,0.019999999552965164,0.0,0.0,0.0010000000474974513,0.0010000000474974513,0.0032500000670552254,0.006500000134110451,0.0,0.30000001192092896,15,,,,,,,,,,,,,
,15,,,,,,,,,,,,,,,,,,,,,,,,,,,15,0.22996295988559723,9989.3037109375,0.22996295988559723,-1.0,-1.0,-1.0,nan,5.666478500643279e-06,1.0,0.7689617276191711,0.058084048330783844,0.7108776569366455,1.0
0.004,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,16,0.15995484590530396,8831.462890625,0.15995484590530396,-1.0,-1.0,-1.0,nan,5.703325768990908e-06,1.0,0.7231857180595398,0.024577805772423744,0.6986079216003418,1.0,0.17487433552742004,0.15995484590530396,16.0,0.004000000189989805,0.019999999552965164,0.0,0.0,0.0010000000474974513,0.0010000000474974513,0.0032999999821186066,0.006599999964237213,0.0,0.30000001192092896,16,,,,,,,,,,,,,
,16,,,,,,,,,,,,,,,,,,,,,,,,,,,16,0.1903093457221985,9406.8701171875,0.1903093457221985,-1.0,-1.0,-1.0,nan,5.6846224651962984e-06,1.0,0.750372052192688,0.038244277238845825,0.7121278047561646,1.0
0.004,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,17,0.14011478424072266,8801.2763671875,0.14011478424072266,-1.0,-1.0,-1.0,nan,5.72256931263837e-06,1.0,0.7400071620941162,0.020778032019734383,0.7192291021347046,1.0,0.15054264664649963,0.14011478424072266,17.0,0.004000000189989805,0.019999999552965164,0.0,0.0,0.0010000000474974513,0.0010000000474974513,0.0033499998971819878,0.0066999997943639755,0.0,0.30000001192092896,17,,,,,,,,,,,,,
,17,,,,,,,,,,,,,,,,,,,,,,,,,,,17,0.15898436307907104,9198.2373046875,0.15898436307907104,-1.0,-1.0,-1.0,nan,5.703325768990908e-06,1.0,0.7608336210250854,0.03804364800453186,0.722790002822876,1.0
0.004,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,18,0.13087405264377594,9022.6806640625,0.13087405264377594,-1.0,-1.0,-1.0,nan,5.741955646954011e-06,1.0,0.7713882327079773,0.023428481072187424,0.7479597330093384,1.0,0.13677462935447693,0.13087405264377594,18.0,0.004000000189989805,0.019999999552965164,0.0,0.0,0.0010000000474974513,0.0010000000474974513,0.0034000000450760126,0.006800000090152025,0.0,0.30000001192092896,18,,,,,,,,,,,,,
