lr-AdamW,step,valid/recon/sess0,valid/loss,valid/recon,valid/bps,valid/co_bps,valid/fp_bps,valid/r2,valid/wt_l2,valid/wt_l2/ramp,valid/wt_kl,valid/wt_kl/ic,valid/wt_kl/co,valid/wt_kl/ramp,valid/recon_smth,hp_metric,cur_epoch,hp/lr_init,hp/dropout_rate,hp/l2_ic_enc_scale,hp/l2_ci_enc_scale,hp/l2_gen_scale,hp/l2_con_scale,hp/kl_co_scale,hp/kl_ic_scale,hp/weight_decay,hp/cd_rate,epoch,train/recon/sess0,train/loss,train/recon,train/bps,train/co_bps,train/fp_bps,train/r2,train/wt_l2,train/wt_l2/ramp,train/wt_kl,train/wt_kl/ic,train/wt_kl/co,train/wt_kl/ramp
0.004,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,1.037459135055542,14605.505859375,1.037459135055542,-1.0,-1.0,-1.0,nan,5.429045813798439e-06,0.012345679104328156,34.2703971862793,3.2547717094421387,31.015625,0.012345679104328156,1.0412904024124146,1.037459135055542,0.0,0.004000000189989805,0.019999999552965164,0.0,0.0,0.0010000000474974513,0.0010000000474974513,0.009999999776482582,0.009999999776482582,0.0,0.30000001192092896,0,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1.0510613918304443,18278.90625,1.0510613918304443,-1.0,-1.0,-1.0,nan,5.420565230451757e-06,0.012345679104328156,62.923160552978516,3.3633079528808594,59.559852600097656,0.012345679104328156
0.004,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,1.0521721839904785,14774.4853515625,1.0521721839904785,-1.0,-1.0,-1.0,nan,5.441253506432986e-06,0.02469135820865631,17.22368621826172,3.02292537689209,14.200761795043945,0.02469135820865631,1.0489076375961304,1.0521721839904785,1.0,0.004000000189989805,0.019999999552965164,0.0,0.0,0.0010000000474974513,0.0010000000474974513,0.009999999776482582,0.009999999776482582,0.0,0.30000001192092896,1,,,,,,,,,,,,,
,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1.0366802215576172,18568.046875,1.0366802215576172,-1.0,-1.0,-1.0,nan,5.429045813798439e-06,0.02469135820865631,33.215030670166016,3.253803014755249,29.96122932434082,0.02469135820865631
0.004,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,1.0457736253738403,13212.755859375,1.0457736253738403,-1.0,-1.0,-1.0,nan,5.456600774778053e-06,0.03703703731298447,7.438549995422363,2.6072983741760254,4.831251621246338,0.03703703731298447,1.0467138290405273,1.0457736253738403,2.0,0.004000000189989805,0.019999999552965164,0.0,0.0,0.0010000000474974513,0.0010000000474974513,0.009999999776482582,0.009999999776482582,0.0,0.30000001192092896,2,,,,,,,,,,,,,
,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1.0512722730636597,16852.380859375,1.0512722730636597,-1.0,-1.0,-1.0,nan,5.441253051685635e-06,0.03703703731298447,17.11707305908203,3.0285704135894775,14.088502883911133,0.03703703731298447
0.004,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
