lr-AdamW,step,valid/recon/sess0,valid/loss,valid/recon,valid/bps,valid/co_bps,valid/fp_bps,valid/r2,valid/wt_l2,valid/wt_l2/ramp,valid/wt_kl,valid/wt_kl/ic,valid/wt_kl/co,valid/wt_kl/ramp,valid/recon_smth,hp_metric,cur_epoch,hp/lr_init,hp/dropout_rate,hp/l2_ic_enc_scale,hp/l2_ci_enc_scale,hp/l2_gen_scale,hp/l2_con_scale,hp/kl_co_scale,hp/kl_ic_scale,hp/weight_decay,hp/cd_rate,epoch,train/recon/sess0,train/loss,train/recon,train/bps,train/co_bps,train/fp_bps,train/r2,train/wt_l2,train/wt_l2/ramp,train/wt_kl,train/wt_kl/ic,train/wt_kl/co,train/wt_kl/ramp
0.004,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,1.0464075803756714,14051.32421875,1.0464075803756714,-1.0,-1.0,-1.0,nan,8.687346962688025e-06,0.012345679104328156,29.056686401367188,3.3361523151397705,25.720531463623047,0.012345679104328156,1.0675028562545776,1.0464075803756714,0.0,0.004000000189989805,0.019999999552965164,0.0,0.0,0.0010000000474974513,0.0010000000474974513,0.009999999776482582,0.009999999776482582,0.0,0.30000001192092896,0,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1.1217079162597656,17246.322265625,1.1217079162597656,-1.0,-1.0,-1.0,nan,8.68269671627786e-06,0.012345679104328156,48.83685302734375,3.373161554336548,45.46369171142578,0.012345679104328156
0.004,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,1.0961418151855469,15636.7021484375,1.0961418151855469,-1.0,-1.0,-1.0,nan,8.701776096131653e-06,0.02469135820865631,18.934894561767578,3.307917594909668,15.626977920532227,0.02469135820865631,1.087550163269043,1.0961418151855469,1.0,0.004000000189989805,0.019999999552965164,0.0,0.0,0.0010000000474974513,0.0010000000474974513,0.009999999776482582,0.009999999776482582,0.0,0.30000001192092896,1,,,,,,,,,,,,,
,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1.0506058931350708,17511.44140625,1.0506058931350708,-1.0,-1.0,-1.0,nan,8.687346962688025e-06,0.02469135820865631,28.37178611755371,3.3408172130584717,25.030969619750977,0.02469135820865631
0.004,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,1.0770448446273804,15747.080078125,1.0770448446273804,-1.0,-1.0,-1.0,nan,8.721798621991184e-06,0.03703703731298447,13.436895370483398,3.279120445251465,10.157774925231934,0.03703703731298447,1.080196499824524,1.0770448446273804,2.0,0.004000000189989805,0.019999999552965164,0.0,0.0,0.0010000000474974513,0.0010000000474974513,0.009999999776482582,0.009999999776482582,0.0,0.30000001192092896,2,,,,,,,,,,,,,
,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1.0923198461532593,17858.19140625,1.0923198461532593,-1.0,-1.0,-1.0,nan,8.701776096131653e-06,0.03703703731298447,18.724472045898438,3.3162014484405518,15.408270835876465,0.03703703731298447
0.004,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,1.0375710725784302,15720.587890625,1.0375710725784302,-1.0,-1.0,-1.0,nan,8.745398190512788e-06,0.04938271641731262,10.823365211486816,3.248671293258667,7.5746941566467285,0.04938271641731262,1.050358772277832,1.0375710725784302,3.0,0.004000000189989805,0.019999999552965164,0.0,0.0,0.0010000000474974513,0.0010000000474974513,0.009999999776482582,0.009999999776482582,0.0,0.30000001192092896,3,,,,,,,,,,,,,
,3,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1.0751941204071045,17686.23046875,1.0751941204071045,-1.0,-1.0,-1.0,nan,8.721798621991184e-06,0.04938271641731262,14.0419282913208,3.2900495529174805,10.75187873840332,0.04938271641731262
0.004,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4,0.9997408390045166,15473.26171875,0.9997408390045166,-1.0,-1.0,-1.0,nan,8.770493877818808e-06,0.06172839552164078,8.870874404907227,3.215200901031494,5.655673027038574,0.06172839552164078,1.0149261951446533,0.9997408390045166,4.0,0.004000000189989805,0.019999999552965164,0.0,0.0,0.0010000000474974513,0.0010000000474974513,0.009999999776482582,0.009999999776482582,0.0,0.30000001192092896,4,,,,,,,,,,,,,
,4,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1.0362733602523804,16999.2265625,1.0362733602523804,-1.0,-1.0,-1.0,nan,8.745398190512788e-06,0.06172839552164078,10.751106262207031,3.2554922103881836,7.495614051818848,0.06172839552164078
0.004,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5,0.9483509659767151,15081.8984375,0.9483509659767151,-1.0,-1.0,-1.0,nan,8.797076588962227e-06,0.07407407462596893,7.5578155517578125,3.1791317462921143,4.378683567047119,0.07407407462596893,0.9683235287666321,0.9483509659767151,5.0,0.004000000189989805,0.019999999552965164,0.0,0.0,0.0010000000474974513,0.0010000000474974513,0.009999999776482582,0.009999999776482582,0.0,0.30000001192092896,5,,,,,,,,,,,,,
,5,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1.0030373334884644,16415.51171875,1.0030373334884644,-1.0,-1.0,-1.0,nan,8.770493877818808e-06,0.07407407462596893,8.619928359985352,3.2229363918304443,5.396992206573486,0.07407407462596893
0.004,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6,0.87964928150177,14509.5009765625,0.87964928150177,-1.0,-1.0,-1.0,nan,8.825249096844345e-06,0.08641975373029709,6.6107587814331055,3.1396844387054443,3.471074104309082,0.08641975373029709,0.9062515497207642,0.87964928150177,6.0,0.004000000189989805,0.019999999552965164,0.0,0.0,0.0010000000474974513,0.0010000000474974513,0.009999999776482582,0.009999999776482582,0.0,0.30000001192092896,6,,,,,,,,,,,,,
,6,,,,,,,,,,,,,,,,,,,,,,,,,,,6,0.9476598501205444,16150.1455078125,0.9476598501205444,-1.0,-1.0,-1.0,nan,8.797076588962227e-06,0.08641975373029709,7.722237586975098,3.191864252090454,4.530373573303223,0.08641975373029709
0.004,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7,0.803642988204956,14327.85546875,0.803642988204956,-1.0,-1.0,-1.0,nan,8.853991857904475e-06,0.09876543283462524,6.370058059692383,3.097306489944458,3.272751808166504,0.09876543283462524,0.8344255685806274,0.803642988204956,7.0,0.004000000189989805,0.019999999552965164,0.0,0.0,0.0010000000474974513,0.0010000000474974513,0.009999999776482582,0.009999999776482582,0.0,0.30000001192092896,7,,,,,,,,,,,,,
,7,,,,,,,,,,,,,,,,,,,,,,,,,,,7,0.8817564845085144,15587.65625,0.8817564845085144,-1.0,-1.0,-1.0,nan,8.825249096844345e-06,0.09876543283462524,6.854708194732666,3.1481292247772217,3.7065789699554443,0.09876543283462524
0.004,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8,0.7239853739738464,13565.755859375,0.7239853739738464,-1.0,-1.0,-1.0,nan,8.883180271368474e-06,0.111111119389534,5.693303108215332,3.0510897636413574,2.6422133445739746,0.111111119389534,0.7571173906326294,0.7239853739738464,8.0,0.004000000189989805,0.019999999552965164,0.0,0.0,0.0010000000474974513,0.0010000000474974513,0.009999999776482582,0.009999999776482582,0.0,0.30000001192092896,8,,,,,,,,,,,,,
,8,,,,,,,,,,,,,,,,,,,,,,,,,,,8,0.8070859313011169,14899.0869140625,0.8070859313011169,-1.0,-1.0,-1.0,nan,8.853991857904475e-06,0.1111111119389534,6.1453962326049805,3.1091020107269287,3.036294460296631,0.1111111119389534
0.004,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9,0.6389709711074829,13027.337890625,0.6389709711074829,-1.0,-1.0,-1.0,nan,8.912714292819146e-06,0.12345679104328156,5.376469612121582,3.001307725906372,2.37516188621521,0.12345679104328156,0.674414873123169,0.6389709711074829,9.0,0.004000000189989805,0.019999999552965164,0.0,0.0,0.0010000000474974513,0.0010000000474974513,0.009999999776482582,0.009999999776482582,0.0,0.30000001192092896,9,,,,,,,,,,,,,
,9,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0.7246776223182678,14466.1728515625,0.7246776223182678,-1.0,-1.0,-1.0,nan,8.883180271368474e-06,0.12345679104328156,5.8477020263671875,3.062701463699341,2.7850005626678467,0.12345679104328156
0.004,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10,0.555458664894104,12539.3720703125,0.555458664894104,-1.0,-1.0,-1.0,nan,8.942595741245896e-06,0.1358024626970291,5.143333911895752,2.9457931518554688,2.197540521621704,0.1358024626970291,0.5911455154418945,0.555458664894104,10.0,0.004000000189989805,0.019999999552965164,0.0,0.0,0.0010000000474974513,0.0010000000474974513,0.009999999776482582,0.009999999776482582,0.0,0.30000001192092896,10,,,,,,,,,,,,,
,10,,,,,,,,,,,,,,,,,,,,,,,,,,,10,0.6410419344902039,13750.966796875,0.6410419344902039,-1.0,-1.0,-1.0,nan,8.912714292819146e-06,0.1358024626970291,5.405303478240967,3.0108540058135986,2.394449472427368,0.1358024626970291
0.004,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11,0.47747793793678284,12027.7939453125,0.47747793793678284,-1.0,-1.0,-1.0,nan,8.972862815426197e-06,0.14814814925193787,4.89577579498291,2.88425350189209,2.011522054672241,0.14814814925193787,0.5115782022476196,0.47747793793678284,11.0,0.004000000189989805,0.019999999552965164,0.0,0.0,0.0010000000474974513,0.0010000000474974513,0.009999999776482582,0.009999999776482582,0.0,0.30000001192092896,11,,,,,,,,,,,,,
,11,,,,,,,,,,,,,,,,,,,,,,,,,,,11,0.5581614375114441,13168.1962890625,0.5581614375114441,-1.0,-1.0,-1.0,nan,8.942595741245896e-06,0.14814814925193787,5.120934009552002,2.958320140838623,2.162613868713379,0.14814814925193787
0.004,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,12,0.404361367225647,11679.513671875,0.404361367225647,-1.0,-1.0,-1.0,nan,9.003173545352183e-06,0.16049380600452423,4.757743835449219,2.8139050006866455,1.9438389539718628,0.16049380600452423,0.43652641773223877,0.404361367225647,12.0,0.004000000189989805,0.019999999552965164,0.0,0.0,0.0010000000474974513,0.0010000000474974513,0.009999999776482582,0.009999999776482582,0.0,0.30000001192092896,12,,,,,,,,,,,,,
,12,,,,,,,,,,,,,,,,,,,,,,,,,,,12,0.47823742032051086,12562.634765625,0.47823742032051086,-1.0,-1.0,-1.0,nan,8.972862815426197e-06,0.16049382090568542,4.847692012786865,2.898191452026367,1.9495004415512085,0.16049382090568542
0.004,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,13,0.338814377784729,11365.7978515625,0.338814377784729,-1.0,-1.0,-1.0,nan,9.032973139255773e-06,0.17283950746059418,4.615633964538574,2.7342944145202637,1.8813395500183105,0.17283950746059418,0.3681280016899109,0.338814377784729,13.0,0.004000000189989805,0.019999999552965164,0.0,0.0,0.0010000000474974513,0.0010000000474974513,0.009999999776482582,0.009999999776482582,0.0,0.30000001192092896,13,,,,,,,,,,,,,
,13,,,,,,,,,,,,,,,,,,,,,,,,,,,13,0.40497857332229614,12219.5732421875,0.40497857332229614,-1.0,-1.0,-1.0,nan,9.003173545352183e-06,0.17283950746059418,4.726796627044678,2.8326220512390137,1.8941744565963745,0.17283950746059418
0.004,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,14,0.28007569909095764,10597.1728515625,0.28007569909095764,-1.0,-1.0,-1.0,nan,9.062265235115774e-06,0.18518517911434174,4.210055351257324,2.6465003490448,1.5635552406311035,0.18518517911434174,0.3064913749694824,0.28007569909095764,14.0,0.004000000189989805,0.019999999552965164,0.0,0.0,0.0010000000474974513,0.0010000000474974513,0.009999999776482582,0.009999999776482582,0.0,0.30000001192092896,14,,,,,,,,,,,,,
,14,,,,,,,,,,,,,,,,,,,,,,,,,,,14,0.3395366966724396,11765.3837890625,0.3395366966724396,-1.0,-1.0,-1.0,nan,9.032973139255773e-06,0.18518517911434174,4.519800186157227,2.750743865966797,1.7690565586090088,0.18518517911434174
0.004,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,15,0.23159101605415344,10582.0595703125,0.23159101605415344,-1.0,-1.0,-1.0,nan,9.091098945646081e-06,0.1975308656692505,4.184729099273682,2.5500431060791016,1.63468599319458,0.1975308656692505,0.25406113266944885,0.23159101605415344,15.0,0.004000000189989805,0.019999999552965164,0.0,0.0,0.0010000000474974513,0.0010000000474974513,0.009999999776482582,0.009999999776482582,0.0,0.30000001192092896,15,,,,,,,,,,,,,
,15,,,,,,,,,,,,,,,,,,,,,,,,,,,15,0.2797320485115051,11437.13671875,0.2797320485115051,-1.0,-1.0,-1.0,nan,9.062265235115774e-06,0.1975308656692505,4.373898506164551,2.664926052093506,1.708972454071045,0.1975308656692505
0.004,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,16,0.19222216308116913,10358.9697265625,0.19222216308116913,-1.0,-1.0,-1.0,nan,9.119367859966587e-06,0.20987653732299805,4.019853591918945,2.4449756145477295,1.574878215789795,0.20987653732299805,0.21077385544776917,0.19222216308116913,16.0,0.004000000189989805,0.019999999552965164,0.0,0.0,0.0010000000474974513,0.0010000000474974513,0.009999999776482582,0.009999999776482582,0.0,0.30000001192092896,16,,,,,,,,,,,,,
,16,,,,,,,,,,,,,,,,,,,,,,,,,,,16,0.23153188824653625,11097.515625,0.23153188824653625,-1.0,-1.0,-1.0,nan,9.091098945646081e-06,0.20987653732299805,4.184449672698975,2.567880868911743,1.616568684577942,0.20987653732299805
0.004,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,17,0.16355523467063904,10201.3203125,0.16355523467063904,-1.0,-1.0,-1.0,nan,9.147118362307083e-06,0.222222238779068,3.854586601257324,2.331876277923584,1.5227103233337402,0.222222238779068,0.1777208149433136,0.16355523467063904,17.0,0.004000000189989805,0.019999999552965164,0.0,0.0,0.0010000000474974513,0.0010000000474974513,0.009999999776482582,0.009999999776482582,0.0,0.30000001192092896,17,,,,,,,,,,,,,
,17,,,,,,,,,,,,,,,,,,,,,,,,,,,17,0.1928631067276001,10804.5517578125,0.1928631067276001,-1.0,-1.0,-1.0,nan,9.119367859966587e-06,0.2222222238779068,3.994155168533325,2.4648027420043945,1.5293524265289307,0.2222222238779068
0.004,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,18,0.1422075778245926,10000.25390625,0.1422075778245926,-1.0,-1.0,-1.0,nan,9.173721991828643e-06,0.23456789553165436,3.657003879547119,2.211104154586792,1.4458996057510376,0.23456789553165436,0.152861550450325,0.1422075778245926,18.0,0.004000000189989805,0.019999999552965164,0.0,0.0,0.0010000000474974513,0.0010000000474974513,0.009999999776482582,0.009999999776482582,0.0,0.30000001192092896,18,,,,,,,,,,,,,
,18,,,,,,,,,,,,,,,,,,,,,,,,,,,18,0.16387517750263214,10771.3330078125,0.16387517750263214,-1.0,-1.0,-1.0,nan,9.147118362307083e-06,0.23456789553165436,3.8933544158935547,2.355553388595581,1.537800908088684,0.23456789553165436
0.004,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,19,0.1275644600391388,9801.408203125,0.1275644600391388,-1.0,-1.0,-1.0,nan,9.199770829582121e-06,0.2469135820865631,3.452925205230713,2.0825352668762207,1.3703898191452026,0.2469135820865631,0.13515359163284302,0.1275644600391388,19.0,0.004000000189989805,0.019999999552965164,0.0,0.0,0.0010000000474974513,0.0010000000474974513,0.009999999776482582,0.009999999776482582,0.0,0.30000001192092896,19,,,,,,,,,,,,,
,19,,,,,,,,,,,,,,,,,,,,,,,,,,,19,0.14099730551242828,10454.0654296875,0.14099730551242828,-1.0,-1.0,-1.0,nan,9.173721991828643e-06,0.2469135820865631,3.662848472595215,2.233045816421509,1.4298027753829956,0.2469135820865631
0.004,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,20,0.11850664764642715,9743.73828125,0.11850664764642715,-1.0,-1.0,-1.0,nan,9.22516301216092e-06,0.25925925374031067,3.30119252204895,1.9467600584030151,1.3544327020645142,0.25925925374031067,0.12350073456764221,0.11850664764642715,20.0,0.004000000189989805,0.019999999552965164,0.0,0.0,0.0010000000474974513,0.0010000000474974513,0.009999999776482582,0.009999999776482582,0.0,0.30000001192092896,20,,,,,,,,,,,,,
,20,,,,,,,,,,,,,,,,,,,,,,,,,,,20,0.12563744187355042,10282.771484375,0.12563744187355042,-1.0,-1.0,-1.0,nan,9.199770829582121e-06,0.25925925374031067,3.4816012382507324,2.1093482971191406,1.3722530603408813,0.25925925374031067
0.004,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,21,0.11270240694284439,9523.4111328125,0.11270240694284439,-1.0,-1.0,-1.0,nan,9.249701179214753e-06,0.2716049253940582,3.0913877487182617,1.804866909980774,1.2865208387374878,0.2716049253940582,0.11594191193580627,0.11270240694284439,21.0,0.004000000189989805,0.019999999552965164,0.0,0.0,0.0010000000474974513,0.0010000000474974513,0.009999999776482582,0.009999999776482582,0.0,0.30000001192092896,21,,,,,,,,,,,,,
,21,,,,,,,,,,,,,,,,,,,,,,,,,,,21,0.11653008311986923,10149.9931640625,0.11653008311986923,-1.0,-1.0,-1.0,nan,9.22516301216092e-06,0.2716049253940582,3.3079912662506104,1.9732331037521362,1.3347581624984741,0.2716049253940582
0.004,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,22,0.10998811572790146,9261.119140625,0.10998811572790146,-1.0,-1.0,-1.0,nan,9.273090654460248e-06,0.2839506268501282,2.8741660118103027,1.6588176488876343,1.2153486013412476,0.2839506268501282,0.1117742508649826,0.10998811572790146,22.0,0.004000000189989805,0.019999999552965164,0.0,0.0,0.0010000000474974513,0.0010000000474974513,0.009999999776482582,0.009999999776482582,0.0,0.30000001192092896,22,,,,,,,,,,,,,
,22,,,,,,,,,,,,,,,,,,,,,,,,,,,22,0.11141567677259445,10004.19140625,0.11141567677259445,-1.0,-1.0,-1.0,nan,9.249701179214753e-06,0.2839506268501282,3.130828857421875,1.8325375318527222,1.2982913255691528,0.2839506268501282
0.004,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,23,0.10849068313837051,9205.7529296875,0.10849068313837051,-1.0,-1.0,-1.0,nan,9.295182280766312e-06,0.29629629850387573,2.7407760620117188,1.5108642578125,1.2299119234085083,0.29629629850387573,0.1094757542014122,0.10849068313837051,23.0,0.004000000189989805,0.019999999552965164,0.0,0.0,0.0010000000474974513,0.0010000000474974513,0.009999999776482582,0.009999999776482582,0.0,0.30000001192092896,23,,,,,,,,,,,,,
,23,,,,,,,,,,,,,,,,,,,,,,,,,,,23,0.1079544946551323,9806.3203125,0.1079544946551323,-1.0,-1.0,-1.0,nan,9.273090654460248e-06,0.29629629850387573,2.945277214050293,1.6861218214035034,1.259155511856079,0.29629629850387573
0.004,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,24,0.10760355740785599,8855.34375,0.10760355740785599,-1.0,-1.0,-1.0,nan,9.3157987066661e-06,0.3086419701576233,2.520486831665039,1.363411545753479,1.1570751667022705,0.3086419701576233,0.10816521942615509,0.10760355740785599,24.0,0.004000000189989805,0.019999999552965164,0.0,0.0,0.0010000000474974513,0.0010000000474974513,0.009999999776482582,0.009999999776482582,0.0,0.30000001192092896,24,,,,,,,,,,,,,
,24,,,,,,,,,,,,,,,,,,,,,,,,,,,24,0.10602319240570068,9722.544921875,0.10602319240570068,-1.0,-1.0,-1.0,nan,9.295182280766312e-06,0.3086419701576233,2.806580066680908,1.5483965873718262,1.2581833600997925,0.3086419701576233
0.004,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,25,0.10668955743312836,8793.6650390625,0.10668955743312836,-1.0,-1.0,-1.0,nan,9.334818059869576e-06,0.32098761200904846,2.4071767330169678,1.2184144258499146,1.1887623071670532,0.32098761200904846,0.10713225603103638,0.10668955743312836,25.0,0.004000000189989805,0.019999999552965164,0.0,0.0,0.0010000000474974513,0.0010000000474974513,0.009999999776482582,0.009999999776482582,0.0,0.30000001192092896,25,,,,,,,,,,,,,
,25,,,,,,,,,,,,,,,,,,,,,,,,,,,25,0.10565506666898727,9464.654296875,0.10565506666898727,-1.0,-1.0,-1.0,nan,9.3157987066661e-06,0.32098764181137085,2.619438409805298,1.4059484004974365,1.2134900093078613,0.32098764181137085
0.004,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,26,0.10592923313379288,8463.17578125,0.10592923313379288,-1.0,-1.0,-1.0,nan,9.352197594125755e-06,0.3333333730697632,2.2211554050445557,1.0771116018295288,1.1440438032150269,0.3333333730697632,0.10629014670848846,0.10592923313379288,26.0,0.004000000189989805,0.019999999552965164,0.0,0.0,0.0010000000474974513,0.0010000000474974513,0.009999999776482582,0.009999999776482582,0.0,0.30000001192092896,26,,,,,,,,,,,,,
,26,,,,,,,,,,,,,,,,,,,,,,,,,,,26,0.10461416840553284,9201.3720703125,0.10461416840553284,-1.0,-1.0,-1.0,nan,9.334818059869576e-06,0.3333333432674408,2.4465596675872803,1.2676527500152588,1.1789069175720215,0.3333333432674408
0.004,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,27,0.10499849915504456,8202.5087890625,0.10499849915504456,-1.0,-0.989702582359314,-0.9465652704238892,nan,9.368017344968393e-06,0.34567901492118835,2.0691134929656982,0.9406556487083435,1.1284579038619995,0.34567901492118835,0.10538599640130997,0.10499849915504456,27.0,0.004000000189989805,0.019999999552965164,0.0,0.0,0.0010000000474974513,0.0010000000474974513,0.009999999776482582,0.009999999776482582,0.0,0.30000001192092896,27,,,,,,,,,,,,,
,27,,,,,,,,,,,,,,,,,,,,,,,,,,,27,0.1029781624674797,8845.0107421875,0.1029781624674797,-1.0,-1.0,-1.0,nan,9.352197594125755e-06,0.34567901492118835,2.260824680328369,1.118834376335144,1.141990303993225,0.34567901492118835
0.004,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,28,0.10346004366874695,8174.15478515625,0.10346004366874695,-0.9644997119903564,-0.8998957872390747,-0.8352199792861938,nan,9.382298230775632e-06,0.3580246865749359,1.9941421747207642,0.8113398551940918,1.1828023195266724,0.3580246865749359,0.1040378287434578,0.10346004366874695,28.0,0.004000000189989805,0.019999999552965164,0.0,0.0,0.0010000000474974513,0.0010000000474974513,0.009999999776482582,0.009999999776482582,0.0,0.30000001192092896,28,,,,,,,,,,,,,
,28,,,,,,,,,,,,,,,,,,,,,,,,,,,28,0.10281283408403397,8627.1044921875,0.10281283408403397,-1.0,-1.0,-0.9089256525039673,nan,9.368017344968393e-06,0.3580246865749359,2.1224634647369385,0.9918638467788696,1.1305996179580688,0.3580246865749359
0.004,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,29,0.10165082663297653,7691.29736328125,0.10165082663297653,-0.8238967061042786,-0.7736653089523315,-0.7372322678565979,nan,9.39527035370702e-06,0.37037035822868347,1.8021838665008545,0.6919867992401123,1.1101970672607422,0.37037035822868347,0.10236692428588867,0.10165082663297653,29.0,0.004000000189989805,0.019999999552965164,0.0,0.0,0.0010000000474974513,0.0010000000474974513,0.009999999776482582,0.009999999776482582,0.0,0.30000001192092896,29,,,,,,,,,,,,,
,29,,,,,,,,,,,,,,,,,,,,,,,,,,,29,0.10101638734340668,8364.0244140625,0.10101638734340668,-0.9541199207305908,-0.9202345013618469,-0.8151711225509644,nan,9.382298230775632e-06,0.37037035822868347,1.9855329990386963,0.859135091304779,1.1263978481292725,0.37037035822868347
0.004,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,30,0.09968455135822296,7470.07080078125,0.09968455135822296,-0.6756667494773865,-0.6321116089820862,-0.6179996132850647,nan,9.407163815922104e-06,0.3827160596847534,1.691381573677063,0.5841327905654907,1.1072487831115723,0.3827160596847534,0.10048926621675491,0.09968455135822296,30.0,0.004000000189989805,0.019999999552965164,0.0,0.0,0.0010000000474974513,0.0010000000474974513,0.009999999776482582,0.009999999776482582,0.0,0.30000001192092896,30,,,,,,,,,,,,,
,30,,,,,,,,,,,,,,,,,,,,,,,,,,,30,0.09900278598070145,8104.23388671875,0.09900278598070145,-0.8228432536125183,-0.7494852542877197,-0.7011704444885254,nan,9.39527035370702e-06,0.3827160596847534,1.8588638305664062,0.7419593930244446,1.116904377937317,0.3827160596847534
0.004,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,31,0.09796332567930222,7135.80126953125,0.09796332567930222,-0.5387157797813416,-0.5177527070045471,-0.5311712026596069,nan,9.418276022188365e-06,0.395061731338501,1.5582706928253174,0.489227831363678,1.0690429210662842,0.395061731338501,0.09872110188007355,0.09796332567930222,31.0,0.004000000189989805,0.019999999552965164,0.0,0.0,0.0010000000474974513,0.0010000000474974513,0.009999999776482582,0.009999999776482582,0.0,0.30000001192092896,31,,,,,,,,,,,,,
,31,,,,,,,,,,,,,,,,,,,,,,,,,,,31,0.09773806482553482,7930.2177734375,0.09773806482553482,-0.6786359548568726,-0.6599902510643005,-0.6022529006004333,nan,9.407163815922104e-06,0.395061731338501,1.75992751121521,0.6500870585441589,1.1098403930664062,0.395061731338501
0.004,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
