lr-AdamW,step,valid/recon/sess0,valid/loss,valid/recon,valid/bps,valid/co_bps,valid/fp_bps,valid/r2,valid/wt_l2,valid/wt_l2/ramp,valid/wt_kl,valid/wt_kl/ic,valid/wt_kl/co,valid/wt_kl/ramp,valid/recon_smth,hp_metric,cur_epoch,hp/lr_init,hp/dropout_rate,hp/l2_ic_enc_scale,hp/l2_ci_enc_scale,hp/l2_gen_scale,hp/l2_con_scale,hp/kl_co_scale,hp/kl_ic_scale,hp/weight_decay,hp/cd_rate,epoch,train/recon/sess0,train/loss,train/recon,train/bps,train/co_bps,train/fp_bps,train/r2,train/wt_l2,train/wt_l2/ramp,train/wt_kl,train/wt_kl/ic,train/wt_kl/co,train/wt_kl/ramp
0.004,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,1.0449434518814087,103603.59375,1.0449434518814087,-1.0,-1.0,-1.0,nan,5.428953500086209e-06,1.0,9.315410614013672,1.6064218282699585,7.708988666534424,1.0,1.0465294122695923,1.0449434518814087,0.0,0.004000000189989805,0.019999999552965164,0.0,0.0,0.0010000000474974513,0.0010000000474974513,0.0024999999441206455,0.004999999888241291,0.0,0.30000001192092896,0,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1.0510613918304443,176226.84375,1.0510613918304443,-1.0,-1.0,-1.0,nan,5.420565230451757e-06,1.0,16.571617126464844,1.6816539764404297,14.889963150024414,1.0
0.004,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,1.0745750665664673,62300.7109375,1.0745750665664673,-1.0,-1.0,-1.0,nan,5.442124802357284e-06,1.0,5.155489921569824,1.475058913230896,3.680431604385376,1.0,1.0661613941192627,1.0745750665664673,1.0,0.004000000189989805,0.019999999552965164,0.0,0.0,0.0010000000474974513,0.0010000000474974513,0.002524999901652336,0.005049999803304672,0.0,0.30000001192092896,1,,,,,,,,,,,,,
,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1.043924331665039,101742.8515625,1.043924331665039,-1.0,-1.0,-1.0,nan,5.428953500086209e-06,1.0,9.130354881286621,1.6221145391464233,7.508240222930908,1.0
0.004,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,1.0964106321334839,35264.26953125,1.0964106321334839,-1.0,-1.0,-1.0,nan,5.458420673676301e-06,1.0,2.4300107955932617,1.2004836797714233,1.2295271158218384,1.0,1.0873358249664307,1.0964106321334839,2.0,0.004000000189989805,0.019999999552965164,0.0,0.0,0.0010000000474974513,0.0010000000474974513,0.0025500000920146704,0.005100000184029341,0.0,0.30000001192092896,2,,,,,,,,,,,,,
,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1.0736720561981201,62537.80078125,1.0736720561981201,-1.0,-1.0,-1.0,nan,5.442124802357284e-06,1.0,5.180102348327637,1.4923231601715088,3.687779426574707,1.0
0.004,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,1.203143835067749,29605.5390625,1.203143835067749,-1.0,-1.0,-1.0,nan,5.4772467592556495e-06,1.0,1.7574046850204468,1.0413239002227783,0.7160806059837341,1.0,1.1684014797210693,1.203143835067749,3.0,0.004000000189989805,0.019999999552965164,0.0,0.0,0.0010000000474974513,0.0010000000474974513,0.002575000049546361,0.005150000099092722,0.0,0.30000001192092896,3,,,,,,,,,,,,,
,3,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1.1001877784729004,36310.57421875,1.1001877784729004,-1.0,-1.0,-1.0,nan,5.458420673676301e-06,1.0,2.5308642387390137,1.218860149383545,1.3120040893554688,1.0
0.004,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4,1.0895287990570068,23290.953125,1.0895287990570068,-1.0,-1.0,-1.0,nan,5.494980086950818e-06,1.0,1.2395610809326172,0.5463506579399109,0.6932104229927063,1.0,1.1131906509399414,1.0895287990570068,4.0,0.004000000189989805,0.019999999552965164,0.0,0.0,0.0010000000474974513,0.0010000000474974513,0.0026000000070780516,0.005200000014156103,0.0,0.30000001192092896,4,,,,,,,,,,,,,
,4,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1.2050362825393677,29535.05078125,1.2050362825393677,-1.0,-1.0,-1.0,nan,5.4772467592556495e-06,1.0,1.7484633922576904,1.0448155403137207,0.7036478519439697,1.0
0.004,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5,0.9146413207054138,18518.193359375,0.9146413207054138,-1.0,-1.0,-1.0,nan,5.511537437996594e-06,1.0,0.9371724128723145,0.24660582840442657,0.6905666589736938,1.0,0.9742060899734497,0.9146413207054138,5.0,0.004000000189989805,0.019999999552965164,0.0,0.0,0.0010000000474974513,0.0010000000474974513,0.002624999964609742,0.005249999929219484,0.0,0.30000001192092896,5,,,,,,,,,,,,,
,5,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1.0894641876220703,23453.673828125,1.0894641876220703,-1.0,-1.0,-1.0,nan,5.494980086950818e-06,1.0,1.2558977603912354,0.5648322701454163,0.6910655498504639,1.0
0.004,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6,0.8500288128852844,16305.916015625,0.8500288128852844,-1.0,-1.0,-1.0,nan,5.528569090529345e-06,1.0,0.7805572748184204,0.1196712851524353,0.6608859300613403,1.0,0.8872820138931274,0.8500288128852844,6.0,0.004000000189989805,0.019999999552965164,0.0,0.0,0.0010000000474974513,0.0010000000474974513,0.0026499999221414328,0.0052999998442828655,0.0,0.30000001192092896,6,,,,,,,,,,,,,
,6,,,,,,,,,,,,,,,,,,,,,,,,,,,6,0.9166964292526245,18705.669921875,0.9166964292526245,-1.0,-1.0,-1.0,nan,5.511537437996594e-06,1.0,0.9538652300834656,0.26319587230682373,0.6906693577766418,1.0
0.004,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7,0.7826903462409973,15897.4208984375,0.7826903462409973,-1.0,-1.0,-1.0,nan,5.545728527067695e-06,1.0,0.8070461750030518,0.144247904419899,0.662798285484314,1.0,0.8140678405761719,0.7826903462409973,7.0,0.004000000189989805,0.019999999552965164,0.0,0.0,0.0010000000474974513,0.0010000000474974513,0.002675000112503767,0.005350000225007534,0.0,0.30000001192092896,7,,,,,,,,,,,,,
,7,,,,,,,,,,,,,,,,,,,,,,,,,,,7,0.8499688506126404,16532.9765625,0.8499688506126404,-1.0,-1.0,-1.0,nan,5.528569090529345e-06,1.0,0.8033232688903809,0.13545170426368713,0.6678715348243713,1.0
0.004,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8,0.683748722076416,14973.4228515625,0.683748722076416,-1.0,-1.0,-1.0,nan,5.562470960285282e-06,1.0,0.8135879635810852,0.16992038488388062,0.6436675786972046,1.0,0.7228444814682007,0.683748722076416,8.0,0.004000000189989805,0.019999999552965164,0.0,0.0,0.0010000000474974513,0.0010000000474974513,0.0027000000700354576,0.005400000140070915,0.0,0.30000001192092896,8,,,,,,,,,,,,,
,8,,,,,,,,,,,,,,,,,,,,,,,,,,,8,0.7834422588348389,16127.939453125,0.7834422588348389,-1.0,-1.0,-1.0,nan,5.545728527067695e-06,1.0,0.8293460607528687,0.15973448753356934,0.6696115732192993,1.0
0.004,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9,0.5946077704429626,13348.09765625,0.5946077704429626,-1.0,-1.0,-1.0,nan,5.579369826591574e-06,1.0,0.7401964068412781,0.13156917691230774,0.6086271405220032,1.0,0.6330788135528564,0.5946077704429626,9.0,0.004000000189989805,0.019999999552965164,0.0,0.0,0.0010000000474974513,0.0010000000474974513,0.002725000027567148,0.005450000055134296,0.0,0.30000001192092896,9,,,,,,,,,,,,,
,9,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0.684350311756134,15125.6318359375,0.684350311756134,-1.0,-1.0,-1.0,nan,5.562470505537931e-06,1.0,0.8282073140144348,0.18707431852817535,0.6411330103874207,1.0
0.004,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10,0.5111974477767944,11884.0322265625,0.5111974477767944,-1.0,-1.0,-1.0,nan,5.596679784503067e-06,1.0,0.6772001385688782,0.05004424229264259,0.6271559596061707,1.0,0.547761857509613,0.5111974477767944,10.0,0.004000000189989805,0.019999999552965164,0.0,0.0,0.0010000000474974513,0.0010000000474974513,0.002749999985098839,0.005499999970197678,0.0,0.30000001192092896,10,,,,,,,,,,,,,
,10,,,,,,,,,,,,,,,,,,,,,,,,,,,10,0.5963499546051025,13617.9384765625,0.5963499546051025,-1.0,-1.0,-1.0,nan,5.579369371844223e-06,1.0,0.7654383182525635,0.14681923389434814,0.6186190843582153,1.0
0.004,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11,0.4220319390296936,10792.625,0.4220319390296936,-1.0,-1.0,-1.0,nan,5.613791472569574e-06,1.0,0.6572250127792358,0.03570488840341568,0.6215201020240784,1.0,0.4597508907318115,0.4220319390296936,11.0,0.004000000189989805,0.019999999552965164,0.0,0.0,0.0010000000474974513,0.0010000000474974513,0.0027749999426305294,0.005549999885261059,0.0,0.30000001192092896,11,,,,,,,,,,,,,
,11,,,,,,,,,,,,,,,,,,,,,,,,,,,11,0.512162446975708,11988.3505859375,0.512162446975708,-1.0,-1.0,-1.0,nan,5.596680239250418e-06,1.0,0.6866669654846191,0.06330390274524689,0.6233630776405334,1.0
0.004,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,12,0.34280452132225037,10345.40625,0.34280452132225037,-1.0,-1.0,-1.0,nan,5.631050044030417e-06,1.0,0.6917304992675781,0.05813579261302948,0.6335946917533875,1.0,0.37788844108581543,0.34280452132225037,12.0,0.004000000189989805,0.019999999552965164,0.0,0.0,0.0010000000474974513,0.0010000000474974513,0.00279999990016222,0.00559999980032444,0.0,0.30000001192092896,12,,,,,,,,,,,,,
,12,,,,,,,,,,,,,,,,,,,,,,,,,,,12,0.4229799807071686,10927.318359375,0.4229799807071686,-1.0,-1.0,-1.0,nan,5.613791017822223e-06,1.0,0.6697462201118469,0.04805875942111015,0.6216874718666077,1.0
0.004,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,13,0.27904871106147766,9583.64453125,0.27904871106147766,-1.0,-1.0,-1.0,nan,5.648566911986563e-06,1.0,0.679310142993927,0.060133639723062515,0.6191765069961548,1.0,0.3087006211280823,0.27904871106147766,13.0,0.004000000189989805,0.019999999552965164,0.0,0.0,0.0010000000474974513,0.0010000000474974513,0.0028250000905245543,0.0056500001810491085,0.0,0.30000001192092896,13,,,,,,,,,,,,,
,13,,,,,,,,,,,,,,,,,,,,,,,,,,,13,0.34388718008995056,10535.3544921875,0.34388718008995056,-1.0,-1.0,-1.0,nan,5.631049589283066e-06,1.0,0.7096426486968994,0.07090398669242859,0.6387386322021484,1.0
0.004,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,14,0.22742557525634766,8997.201171875,0.22742557525634766,-1.0,-1.0,-1.0,nan,5.6664621297386475e-06,1.0,0.6722888946533203,0.04332806542515755,0.6289608478546143,1.0,0.2518080770969391,0.22742557525634766,14.0,0.004000000189989805,0.019999999552965164,0.0,0.0,0.0010000000474974513,0.0010000000474974513,0.002850000048056245,0.00570000009611249,0.0,0.30000001192092896,14,,,,,,,,,,,,,
,14,,,,,,,,,,,,,,,,,,,,,,,,,,,14,0.2781079411506653,9799.6220703125,0.2781079411506653,-1.0,-1.0,-1.0,nan,5.648566911986563e-06,1.0,0.7018486261367798,0.07106179744005203,0.6307868361473083,1.0
0.004,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,15,0.18678656220436096,8395.0859375,0.18678656220436096,-1.0,-1.0,-1.0,nan,5.684816642315127e-06,1.0,0.6527163982391357,0.026179056614637375,0.6265372633934021,1.0,0.2062930166721344,0.18678656220436096,15.0,0.004000000189989805,0.019999999552965164,0.0,0.0,0.0010000000474974513,0.0010000000474974513,0.0028750000055879354,0.005750000011175871,0.0,0.30000001192092896,15,,,,,,,,,,,,,
,15,,,,,,,,,,,,,,,,,,,,,,,,,,,15,0.22651535272598267,9086.6708984375,0.22651535272598267,-1.0,-1.0,-1.0,nan,5.6664621297386475e-06,1.0,0.6821460723876953,0.052769988775253296,0.6293761134147644,1.0
0.004,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,16,0.1573789119720459,7931.9248046875,0.1573789119720459,-1.0,-1.0,-1.0,nan,5.703795977751724e-06,1.0,0.6358078718185425,0.022001275792717934,0.6138066053390503,1.0,0.17205314338207245,0.1573789119720459,16.0,0.004000000189989805,0.019999999552965164,0.0,0.0,0.0010000000474974513,0.0010000000474974513,0.002899999963119626,0.005799999926239252,0.0,0.30000001192092896,16,,,,,,,,,,,,,
,16,,,,,,,,,,,,,,,,,,,,,,,,,,,16,0.18690000474452972,8472.2421875,0.18690000474452972,-1.0,-1.0,-1.0,nan,5.684816642315127e-06,1.0,0.6603185534477234,0.03420966863632202,0.6261088848114014,1.0
0.004,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,17,0.13853435218334198,7852.1826171875,0.13853435218334198,-1.0,-1.0,-1.0,nan,5.723375579691492e-06,1.0,0.6466781497001648,0.018422551453113556,0.6282556056976318,1.0,0.14858999848365784,0.13853435218334198,17.0,0.004000000189989805,0.019999999552965164,0.0,0.0,0.0010000000474974513,0.0010000000474974513,0.0029249999206513166,0.005849999841302633,0.0,0.30000001192092896,17,,,,,,,,,,,,,
,17,,,,,,,,,,,,,,,,,,,,,,,,,,,17,0.15638411045074463,8211.7802734375,0.15638411045074463,-1.0,-1.0,-1.0,nan,5.703795977751724e-06,1.0,0.6647881865501404,0.03360990062355995,0.6311782598495483,1.0
0.004,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,18,0.12988142669200897,7997.27978515625,0.12988142669200897,-1.0,-1.0,-1.0,nan,5.743089332099771e-06,1.0,0.6698408722877502,0.020420856773853302,0.6494200229644775,1.0,0.13549399375915527,0.12988142669200897,18.0,0.004000000189989805,0.019999999552965164,0.0,0.0,0.0010000000474974513,0.0010000000474974513,0.002950000111013651,0.005900000222027302,0.0,0.30000001192092896,18,,,,,,,,,,,,,
