lr-AdamW,step,valid/recon/sess0,valid/loss,valid/recon,valid/bps,valid/co_bps,valid/fp_bps,valid/r2,valid/wt_l2,valid/wt_l2/ramp,valid/wt_kl,valid/wt_kl/ic,valid/wt_kl/co,valid/wt_kl/ramp,valid/recon_smth,hp_metric,cur_epoch,hp/lr_init,hp/dropout_rate,hp/l2_ic_enc_scale,hp/l2_ci_enc_scale,hp/l2_gen_scale,hp/l2_con_scale,hp/kl_co_scale,hp/kl_ic_scale,hp/weight_decay,hp/cd_rate,epoch,train/recon/sess0,train/loss,train/recon,train/bps,train/co_bps,train/fp_bps,train/r2,train/wt_l2,train/wt_l2/ramp,train/wt_kl,train/wt_kl/ic,train/wt_kl/co,train/wt_kl/ramp
0.004,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,1.0634231567382812,105415.203125,1.0634231567382812,-1.0,-1.0,-1.0,nan,5.47632362213335e-06,1.0,9.4780912399292,1.5960804224014282,7.882010459899902,1.0,1.0630452632904053,1.0634231567382812,0.0,0.004000000189989805,0.019999999552965164,0.0,0.0,0.0010000000474974513,0.0010000000474974513,0.0024999999441206455,0.004999999888241291,0.0,0.30000001192092896,0,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1.0651733875274658,155693.96875,1.0651733875274658,-1.0,-1.0,-1.0,nan,5.468291419674642e-06,1.0,14.504218101501465,1.6879231929779053,12.81629467010498,1.0
0.004,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,1.047646403312683,63307.36328125,1.047646403312683,-1.0,-1.0,-1.0,nan,5.489639988809358e-06,1.0,5.283083915710449,1.579308271408081,3.7037758827209473,1.0,1.0522661209106445,1.047646403312683,1.0,0.004000000189989805,0.019999999552965164,0.0,0.0,0.0010000000474974513,0.0010000000474974513,0.002749999985098839,0.005499999970197678,0.0,0.30000001192092896,1,,,,,,,,,,,,,
,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1.0641560554504395,111108.5625,1.0641560554504395,-1.0,-1.0,-1.0,nan,5.47632362213335e-06,1.0,10.0466947555542,1.7593413591384888,8.287353515625,1.0
0.004,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,1.1451797485351562,38336.25390625,1.1451797485351562,-1.0,-1.0,-1.0,nan,5.5064615480659995e-06,1.0,2.6884398460388184,1.3746328353881836,1.3138072490692139,1.0,1.1173056364059448,1.1451797485351562,2.0,0.004000000189989805,0.019999999552965164,0.0,0.0,0.0010000000474974513,0.0010000000474974513,0.003000000026077032,0.006000000052154064,0.0,0.30000001192092896,2,,,,,,,,,,,,,
,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1.0480575561523438,67972.734375,1.0480575561523438,-1.0,-1.0,-1.0,nan,5.489639988809358e-06,1.0,5.749210357666016,1.7342201471328735,4.014990329742432,1.0
0.004,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
