lr-AdamW,step,valid/recon/sess0,valid/loss,valid/recon,valid/bps,valid/co_bps,valid/fp_bps,valid/r2,valid/wt_l2,valid/wt_l2/ramp,valid/wt_kl,valid/wt_kl/ic,valid/wt_kl/co,valid/wt_kl/ramp,valid/recon_smth,hp_metric,cur_epoch,hp/lr_init,hp/dropout_rate,hp/l2_ic_enc_scale,hp/l2_ci_enc_scale,hp/l2_gen_scale,hp/l2_con_scale,hp/kl_co_scale,hp/kl_ic_scale,hp/weight_decay,hp/cd_rate,epoch,train/recon/sess0,train/loss,train/recon,train/bps,train/co_bps,train/fp_bps,train/r2,train/wt_l2,train/wt_l2/ramp,train/wt_kl,train/wt_kl/ic,train/wt_kl/co,train/wt_kl/ramp
0.004,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,1.0446058511734009,52536.1640625,1.0446058511734009,-1.0,-1.0,-1.0,nan,5.4289343097480014e-05,0.012345679104328156,340.9297790527344,32.57147979736328,308.3583068847656,0.012345679104328156,1.046293020248413,1.0446058511734009,0.0,0.004000000189989805,0.019999999552965164,0.0,0.0,0.009999999776482582,0.009999999776482582,0.10000000149011612,0.10000000149011612,0.0,0.30000001192092896,0,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1.0510613918304443,88193.5390625,1.0510613918304443,-1.0,-1.0,-1.0,nan,5.420564775704406e-05,0.012345679104328156,629.2316284179688,33.63308334350586,595.5985717773438,0.012345679104328156
0.004,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,1.0729740858078003,54039.9765625,1.0729740858078003,-1.0,-1.0,-1.0,nan,5.442068140837364e-05,0.02469135820865631,175.40640258789062,30.275257110595703,145.1311492919922,0.02469135820865631,1.064969778060913,1.0729740858078003,1.0,0.004000000189989805,0.019999999552965164,0.0,0.0,0.009999999776482582,0.009999999776482582,0.10000000149011612,0.10000000149011612,0.0,0.30000001192092896,1,,,,,,,,,,,,,
,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1.0436002016067505,91903.6875,1.0436002016067505,-1.0,-1.0,-1.0,nan,5.428934673545882e-05,0.02469135820865631,329.944091796875,32.56313705444336,297.3809509277344,0.02469135820865631
0.004,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,1.0997601747512817,38585.828125,1.0997601747512817,-1.0,-1.0,-1.0,nan,5.458429586724378e-05,0.03703703731298447,74.48815155029297,26.208200454711914,48.27995300292969,0.03703703731298447,1.0893230438232422,1.0997601747512817,2.0,0.004000000189989805,0.019999999552965164,0.0,0.0,0.009999999776482582,0.009999999776482582,0.10000000149011612,0.10000000149011612,0.0,0.30000001192092896,2,,,,,,,,,,,,,
,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1.0720163583755493,75296.109375,1.0720163583755493,-1.0,-1.0,-1.0,nan,5.442068140837364e-05,0.03703703731298447,174.35498046875,30.33326530456543,144.02171325683594,0.03703703731298447
0.004,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,1.2323124408721924,39583.0,1.2323124408721924,-1.0,-1.0,-1.0,nan,5.477476952364668e-05,0.04938271641731262,55.20119094848633,27.4503116607666,27.750879287719727,0.04938271641731262,1.1894155740737915,1.2323124408721924,3.0,0.004000000189989805,0.019999999552965164,0.0,0.0,0.009999999776482582,0.009999999776482582,0.10000000149011612,0.10000000149011612,0.0,0.30000001192092896,3,,,,,,,,,,,,,
