lr-AdamW,step,valid/recon/sess0,valid/loss,valid/recon,valid/bps,valid/co_bps,valid/fp_bps,valid/r2,valid/wt_l2,valid/wt_l2/ramp,valid/wt_kl,valid/wt_kl/ic,valid/wt_kl/co,valid/wt_kl/ramp,valid/recon_smth,hp_metric,cur_epoch,hp/lr_init,hp/dropout_rate,hp/l2_ic_enc_scale,hp/l2_ci_enc_scale,hp/l2_gen_scale,hp/l2_con_scale,hp/kl_co_scale,hp/kl_ic_scale,hp/weight_decay,hp/cd_rate,epoch,train/recon/sess0,train/loss,train/recon,train/bps,train/co_bps,train/fp_bps,train/r2,train/wt_l2,train/wt_l2/ramp,train/wt_kl,train/wt_kl/ic,train/wt_kl/co,train/wt_kl/ramp
0.004,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0.9924749732017517,9924.75,0.9924749732017517,-1.0,-1.0,-1.0,nan,0.0,0.012345679104328156,0.0,0.0,0.0,0.012345679104328156,1.0098015069961548,0.9924749732017517,0.0,0.004000000189989805,0.019999999552965164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30000001192092896,0,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1.0510613918304443,10510.6142578125,1.0510613918304443,-1.0,-1.0,-1.0,nan,0.0,0.012345679104328156,0.0,0.0,0.0,0.012345679104328156
0.004,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,0.9317760467529297,9317.7607421875,0.9317760467529297,-1.0,-1.0,-1.0,nan,0.0,0.02469135820865631,0.0,0.0,0.0,0.02469135820865631,0.9551836252212524,0.9317760467529297,1.0,0.004000000189989805,0.019999999552965164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30000001192092896,1,,,,,,,,,,,,,
,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.9918646216392517,9918.646484375,0.9918646216392517,-1.0,-1.0,-1.0,nan,0.0,0.02469135820865631,0.0,0.0,0.0,0.02469135820865631
0.004,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,0.863044023513794,8630.4404296875,0.863044023513794,-1.0,-1.0,-1.0,nan,0.0,0.03703703731298447,0.0,0.0,0.0,0.03703703731298447,0.8906859159469604,0.863044023513794,2.0,0.004000000189989805,0.019999999552965164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30000001192092896,2,,,,,,,,,,,,,
,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.9316438436508179,9316.4384765625,0.9316438436508179,-1.0,-1.0,-1.0,nan,0.0,0.03703703731298447,0.0,0.0,0.0,0.03703703731298447
0.004,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,0.7755405306816101,7755.40478515625,0.7755405306816101,-1.0,-1.0,-1.0,nan,0.0,0.04938271641731262,0.0,0.0,0.0,0.04938271641731262,0.8100841641426086,0.7755405306816101,3.0,0.004000000189989805,0.019999999552965164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30000001192092896,3,,,,,,,,,,,,,
,3,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0.8657085299491882,8657.0849609375,0.8657085299491882,-1.0,-1.0,-1.0,nan,0.0,0.04938271641731262,0.0,0.0,0.0,0.04938271641731262
0.004,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4,0.6762123703956604,6762.12353515625,0.6762123703956604,-1.0,-1.0,-1.0,nan,0.0,0.06172839552164078,0.0,0.0,0.0,0.06172839552164078,0.7163739204406738,0.6762123703956604,4.0,0.004000000189989805,0.019999999552965164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30000001192092896,4,,,,,,,,,,,,,
,4,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0.7788073420524597,7788.0732421875,0.7788073420524597,-1.0,-1.0,-1.0,nan,0.0,0.06172839552164078,0.0,0.0,0.0,0.06172839552164078
0.004,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5,0.5699047446250916,5699.04736328125,0.5699047446250916,-1.0,-1.0,-1.0,nan,0.0,0.07407407462596893,0.0,0.0,0.0,0.07407407462596893,0.6138455271720886,0.5699047446250916,5.0,0.004000000189989805,0.019999999552965164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30000001192092896,5,,,,,,,,,,,,,
,5,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0.677851140499115,6778.51123046875,0.677851140499115,-1.0,-1.0,-1.0,nan,0.0,0.07407407462596893,0.0,0.0,0.0,0.07407407462596893
0.004,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6,0.4658231735229492,4658.23193359375,0.4658231735229492,-1.0,-1.0,-1.0,nan,0.0,0.08641975373029709,0.0,0.0,0.0,0.08641975373029709,0.5102298855781555,0.4658231735229492,6.0,0.004000000189989805,0.019999999552965164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30000001192092896,6,,,,,,,,,,,,,
