lr-AdamW,step,valid/recon/sess0,valid/loss,valid/recon,valid/bps,valid/co_bps,valid/fp_bps,valid/r2,valid/wt_l2,valid/wt_l2/ramp,valid/wt_kl,valid/wt_kl/ic,valid/wt_kl/co,valid/wt_kl/ramp,valid/recon_smth,hp_metric,cur_epoch,hp/lr_init,hp/dropout_rate,hp/l2_ic_enc_scale,hp/l2_ci_enc_scale,hp/l2_gen_scale,hp/l2_con_scale,hp/kl_co_scale,hp/kl_ic_scale,hp/weight_decay,hp/cd_rate,epoch,train/recon/sess0,train/loss,train/recon,train/bps,train/co_bps,train/fp_bps,train/r2,train/wt_l2,train/wt_l2/ramp,train/wt_kl,train/wt_kl/ic,train/wt_kl/co,train/wt_kl/ramp
0.004,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0.9931885004043579,9986.4208984375,0.9931885004043579,-1.0,-1.0,-1.0,nan,5.424040523394069e-07,0.012345679104328156,0.44173985719680786,0.032873645424842834,0.40886619687080383,0.012345679104328156,1.010300874710083,0.9931885004043579,0.0,0.004000000189989805,0.019999999552965164,0.0,0.0,9.999999747378752e-05,9.999999747378752e-05,9.999999747378752e-05,9.999999747378752e-05,0.0,0.30000001192092896,0,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1.0510613918304443,10588.296875,1.0510613918304443,-1.0,-1.0,-1.0,nan,5.420565116764919e-07,0.012345679104328156,0.6292315721511841,0.03363307937979698,0.5955985188484192,0.012345679104328156
0.004,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,0.9368348121643066,9453.8671875,0.9368348121643066,-1.0,-1.0,-1.0,nan,5.431924705590063e-07,0.02469135820865631,0.3463537096977234,0.031668804585933685,0.3146849274635315,0.02469135820865631,0.9588746428489685,0.9368348121643066,1.0,0.004000000189989805,0.019999999552965164,0.0,0.0,9.999999747378752e-05,9.999999747378752e-05,9.999999747378752e-05,9.999999747378752e-05,0.0,0.30000001192092896,1,,,,,,,,,,,,,
,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.9925965070724487,10032.546875,0.9925965070724487,-1.0,-1.0,-1.0,nan,5.424040523394069e-07,0.02469135820865631,0.4316566288471222,0.0328473262488842,0.3988093137741089,0.02469135820865631
0.004,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,0.8725234866142273,8826.7548828125,0.8725234866142273,-1.0,-1.0,-1.0,nan,5.443365012069989e-07,0.03703703731298447,0.2741057276725769,0.02930258773267269,0.24480314552783966,0.03703703731298447,0.8984287977218628,0.8725234866142273,2.0,0.004000000189989805,0.019999999552965164,0.0,0.0,9.999999747378752e-05,9.999999747378752e-05,9.999999747378752e-05,9.999999747378752e-05,0.0,0.30000001192092896,2,,,,,,,,,,,,,
,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.9363836050033569,9493.4111328125,0.9363836050033569,-1.0,-1.0,-1.0,nan,5.431924705590063e-07,0.03703703731298447,0.34985339641571045,0.03166962414979935,0.3181837797164917,0.03703703731298447
0.004,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
