lr-AdamW,step,valid/recon/sess0,valid/loss,valid/recon,valid/bps,valid/co_bps,valid/fp_bps,valid/r2,valid/wt_l2,valid/wt_l2/ramp,valid/wt_kl,valid/wt_kl/ic,valid/wt_kl/co,valid/wt_kl/ramp,valid/recon_smth,hp_metric,cur_epoch,hp/lr_init,hp/dropout_rate,hp/l2_ic_enc_scale,hp/l2_ci_enc_scale,hp/l2_gen_scale,hp/l2_con_scale,hp/kl_co_scale,hp/kl_ic_scale,hp/weight_decay,hp/cd_rate,epoch,train/recon/sess0,train/loss,train/recon,train/bps,train/co_bps,train/fp_bps,train/r2,train/wt_l2,train/wt_l2/ramp,train/wt_kl,train/wt_kl/ic,train/wt_kl/co,train/wt_kl/ramp
0.004,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,1.0120291709899902,12122.66796875,1.0120291709899902,-1.0,-1.0,-1.0,nan,5.486480176841724e-07,1.0,0.200236976146698,0.03203034773468971,0.16820663213729858,1.0,1.0284656286239624,1.0120291709899902,0.0,0.004000000189989805,0.019999999552965164,0.0,0.0,9.999999747378752e-05,9.999999747378752e-05,4.999999873689376e-05,9.999999747378752e-05,0.0,0.30000001192092896,0,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1.0687705278396606,13566.0498046875,1.0687705278396606,-1.0,-1.0,-1.0,nan,5.481492735270876e-07,1.0,0.2878337800502777,0.03375536575913429,0.2540784180164337,1.0
0.004,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,0.9771940112113953,13772.5771484375,0.9771940112113953,-1.0,-1.0,-1.0,nan,6.734445037182013e-07,1.0,0.4000632166862488,0.10252149403095245,0.29754170775413513,1.0,0.992575466632843,0.9771940112113953,1.0,0.004000000189989805,0.019999999552965164,0.0,0.0,0.00012250000145286322,0.00012250000145286322,0.00017374999879393727,0.00034749999758787453,0.0,0.30000001192092896,1,,,,,,,,,,,,,
,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1.0134296417236328,17127.876953125,1.0134296417236328,-1.0,-1.0,-1.0,nan,6.720939040860685e-07,1.0,0.6993573904037476,0.11167851090431213,0.587678849697113,1.0
0.004,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,0.9600616693496704,12726.9658203125,0.9600616693496704,-1.0,-1.0,-1.0,nan,7.992418318281125e-07,1.0,0.31263425946235657,0.14795857667922974,0.16467566788196564,1.0,0.9698157906532288,0.9600616693496704,2.0,0.004000000189989805,0.019999999552965164,0.0,0.0,0.0001449999981559813,0.0001449999981559813,0.00029749999521300197,0.0005949999904260039,0.0,0.30000001192092896,2,,,,,,,,,,,,,
,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.9777584075927734,16827.556640625,0.9777584075927734,-1.0,-1.0,-1.0,nan,7.971383979565871e-07,1.0,0.7049965858459473,0.17702068388462067,0.5279759168624878,1.0
0.004,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,0.936154305934906,12093.419921875,0.936154305934906,-1.0,-1.0,-1.0,nan,9.261567015528271e-07,1.0,0.27318671345710754,0.16061361134052277,0.11257310211658478,1.0,0.9462527632713318,0.936154305934906,3.0,0.004000000189989805,0.019999999552965164,0.0,0.0,0.0001674999948590994,0.0001674999948590994,0.0004212500061839819,0.0008425000123679638,0.0,0.30000001192092896,3,,,,,,,,,,,,,
,3,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0.9614818692207336,14196.2109375,0.9614818692207336,-1.0,-1.0,-1.0,nan,9.232620641341782e-07,1.0,0.4581383764743805,0.2108524888753891,0.2472858875989914,1.0
0.004,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4,0.8051836490631104,10869.0478515625,0.8051836490631104,-1.0,-1.0,-1.0,nan,1.0537897878748481e-06,1.0,0.2817201018333435,0.1370912343263626,0.1446288824081421,1.0,0.8475043773651123,0.8051836490631104,4.0,0.004000000189989805,0.019999999552965164,0.0,0.0,0.0001900000061141327,0.0001900000061141327,0.0005450000171549618,0.0010900000343099236,0.0,0.30000001192092896,4,,,,,,,,,,,,,
,4,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0.9393693208694458,12910.6298828125,0.9393693208694458,-1.0,-1.0,-1.0,nan,1.0505658565307385e-06,1.0,0.3516925871372223,0.20882777869701385,0.14286480844020844,1.0
0.004,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5,0.774335503578186,10412.8505859375,0.774335503578186,-1.0,-1.0,-1.0,nan,1.1822577334896778e-06,1.0,0.2669483721256256,0.08602222800254822,0.1809261441230774,1.0,0.7962862253189087,0.774335503578186,5.0,0.004000000189989805,0.019999999552965164,0.0,0.0,0.0002125000028172508,0.0002125000028172508,0.0006687500281259418,0.0013375000562518835,0.0,0.30000001192092896,5,,,,,,,,,,,,,
,5,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0.8072847127914429,11544.921875,0.8072847127914429,-1.0,-1.0,-1.0,nan,1.178580532723572e-06,1.0,0.347206175327301,0.168959841132164,0.17824633419513702,1.0
