lr-AdamW,step,valid/recon/sess0,valid/loss,valid/recon,valid/bps,valid/co_bps,valid/fp_bps,valid/r2,valid/wt_l2,valid/wt_l2/ramp,valid/wt_kl,valid/wt_kl/ic,valid/wt_kl/co,valid/wt_kl/ramp,valid/recon_smth,hp_metric,cur_epoch,hp/lr_init,hp/dropout_rate,hp/l2_ic_enc_scale,hp/l2_ci_enc_scale,hp/l2_gen_scale,hp/l2_con_scale,hp/kl_co_scale,hp/kl_ic_scale,hp/weight_decay,hp/cd_rate,epoch,train/recon/sess0,train/loss,train/recon,train/bps,train/co_bps,train/fp_bps,train/r2,train/wt_l2,train/wt_l2/ramp,train/wt_kl,train/wt_kl/ic,train/wt_kl/co,train/wt_kl/ramp
0.004,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,1.0562007427215576,95933.171875,1.0562007427215576,-1.0,-1.0,-1.0,nan,5.546175998460967e-06,1.0,8.537110328674316,1.6027159690856934,6.934394359588623,1.0,1.059546947479248,1.0562007427215576,0.0,0.004000000189989805,0.019999999552965164,0.0,0.0,0.0010000000474974513,0.0010000000474974513,0.0024999999441206455,0.004999999888241291,0.0,0.30000001192092896,0,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1.0679160356521606,160822.484375,1.0679160356521606,-1.0,-1.0,-1.0,nan,5.53943164049997e-06,1.0,15.014327049255371,1.68717360496521,13.327153205871582,1.0
0.004,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,1.161392331123352,57092.00390625,1.161392331123352,-1.0,-1.0,-1.0,nan,5.559496912610484e-06,1.0,4.547802448272705,1.6118382215499878,2.935964345932007,1.0,1.1308387517929077,1.161392331123352,1.0,0.004000000189989805,0.019999999552965164,0.0,0.0,0.0010000000474974513,0.0010000000474974513,0.002749999985098839,0.005499999970197678,0.0,0.30000001192092896,1,,,,,,,,,,,,,
,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1.0574536323547363,108617.2265625,1.0574536323547363,-1.0,-1.0,-1.0,nan,5.546175998460967e-06,1.0,9.804264068603516,1.7670834064483643,8.03718090057373,1.0
0.004,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,1.1979953050613403,40009.8046875,1.1979953050613403,-1.0,-1.0,-1.0,nan,5.576645889959764e-06,1.0,2.8029794692993164,1.4667105674743652,1.3362689018249512,1.0,1.1778483390808105,1.1979953050613403,2.0,0.004000000189989805,0.019999999552965164,0.0,0.0,0.0010000000474974513,0.0010000000474974513,0.003000000026077032,0.006000000052154064,0.0,0.30000001192092896,2,,,,,,,,,,,,,
,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1.1665048599243164,61546.875,1.1665048599243164,-1.0,-1.0,-1.0,nan,5.559496912610484e-06,1.0,4.9881768226623535,1.7640985250473022,3.2240781784057617,1.0
0.004,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
